STATECD,PLOT_FIADB,State_Plot,SPCD,SDN_code,n
6,50003,500036,202,1,35
6,50003,500036,361,1,4
6,50003,500036,431,1,2
6,50003,500036,631,1,45
6,50041,500416,108,3,2
6,50042,500426,133,1,16
6,50055,500556,805,1,60
6,50055,500556,818,1,9
6,50057,500576,81,2,28
6,50057,500576,117,2,4
6,50057,500576,122,2,43
6,50057,500576,805,2,4
6,50057,500576,818,2,8
6,50061,500616,807,1,23
6,50069,500696,202,1,30
6,50069,500696,211,1,15
6,50069,500696,361,1,1
6,50069,500696,631,1,24
6,50076,500766,113,1,10
6,50076,500766,133,1,5
6,50095,500956,15,3,2
6,50095,500956,116,1,25
6,50112,501126,202,1,28
6,50112,501126,631,1,16
6,50112,501126,805,1,12
6,50112,501126,981,1,19
6,50120,501206,20,1,40
6,50120,501206,119,1,16
6,50126,501266,117,1,4
6,50126,501266,122,1,7
6,50126,501266,202,1,23
6,50126,501266,805,1,9
6,50126,501266,818,1,26
6,50136,501366,133,1,26
6,50139,501396,15,1,21
6,50139,501396,64,1,4
6,50139,501396,116,1,6
6,50139,501396,746,1,65
6,50167,501676,15,1,10
6,50167,501676,81,1,2
6,50167,501676,122,1,81
6,50167,501676,202,1,57
6,50167,501676,818,1,5
6,50172,501726,17,1,3
6,50172,501726,98,1,2
6,50172,501726,202,1,12
6,50172,501726,211,1,34
6,50172,501726,263,1,4
6,50172,501726,351,1,4
6,50189,501896,15,1,11
6,50189,501896,81,1,5
6,50189,501896,117,1,8
6,50189,501896,122,1,8
6,50189,501896,202,1,57
6,50189,501896,818,2,2
6,50191,501916,133,1,44
6,50191,501916,805,1,27
6,50204,502046,133,1,37
6,50206,502066,15,1,110
6,50206,502066,20,1,11
6,50206,502066,116,1,13
6,50209,502096,127,1,3
6,50209,502096,807,1,4
6,50210,502106,81,1,2
6,50210,502106,202,1,79
6,50210,502106,312,1,8
6,50210,502106,805,1,14
6,50218,502186,122,1,21
6,50218,502186,202,1,8
6,50218,502186,818,1,13
6,50224,502246,807,1,18
6,50235,502356,127,1,8
6,50235,502356,361,1,16
6,50235,502356,631,1,31
6,50235,502356,805,1,38
6,50236,502366,122,1,20
6,50236,502366,815,1,17
6,50236,502366,818,1,30
6,50281,502816,116,1,10
6,50287,502876,117,1,2
6,50287,502876,202,1,22
6,50287,502876,361,1,10
6,50287,502876,431,1,2
6,50287,502876,631,1,47
6,50287,502876,805,1,4
6,50288,502886,15,1,24
6,50288,502886,81,1,8
6,50288,502886,117,1,16
6,50288,502886,122,1,28
6,50288,502886,202,1,20
6,50295,502956,41,2,2
6,50295,502956,119,3,3
6,50304,503046,15,2,2
6,50304,503046,122,1,9
6,50311,503116,122,1,60
6,50336,503366,20,1,18
6,50336,503366,108,1,2
6,50336,503366,119,1,18
6,50336,503366,264,1,2
6,50368,503686,202,1,5
6,50368,503686,312,1,14
6,50368,503686,351,1,5
6,50368,503686,631,1,8
6,50379,503796,108,1,30
6,50401,504016,64,1,2
6,50402,504026,15,1,10
6,50402,504026,81,1,13
6,50402,504026,116,1,4
6,50402,504026,122,1,55
6,50404,504046,15,1,6
6,50404,504046,81,1,14
6,50404,504046,117,2,2
6,50404,504046,202,1,59
6,50422,504226,64,1,12
6,50422,504226,133,1,10
6,50447,504476,807,1,4
6,50463,504636,20,1,11
6,50463,504636,108,1,15
6,50463,504636,119,1,8
6,50465,504656,15,1,25
6,50465,504656,116,1,2
6,50465,504656,202,1,2
6,50477,504776,807,1,2
6,50481,504816,15,2,2
6,50481,504816,81,1,16
6,50481,504816,117,1,6
6,50481,504816,122,1,22
6,50481,504816,202,1,17
6,50500,505006,20,1,16
6,50500,505006,64,1,4
6,50500,505006,116,1,8
6,50500,505006,119,1,2
6,50501,505016,122,1,25
6,50501,505016,202,1,2
6,50501,505016,361,1,12
6,50501,505016,818,1,2
6,50504,505046,64,1,2
6,50504,505046,122,1,16
6,50517,505176,133,1,4
6,50523,505236,15,1,4
6,50523,505236,64,1,2
6,50523,505236,116,1,25
6,50523,505236,746,1,5
6,50529,505296,15,1,15
6,50529,505296,20,1,3
6,50529,505296,116,1,7
6,50529,505296,117,1,4
6,50543,505436,81,1,2
6,50543,505436,122,3,2
6,50543,505436,202,1,2
6,50543,505436,361,1,4
6,50543,505436,631,1,35
6,50543,505436,818,2,2
6,50595,505956,15,1,4
6,50595,505956,20,1,3
6,50595,505956,108,1,12
6,50595,505956,116,1,2
6,50596,505966,746,1,2
6,50607,506076,807,1,6
6,50607,506076,839,1,6
6,50618,506186,202,1,31
6,50618,506186,361,1,4
6,50618,506186,631,1,74
6,50623,506236,122,1,2
6,50623,506236,202,1,64
6,50623,506236,805,1,2
6,50623,506236,818,1,2
6,50628,506286,15,1,2
6,50628,506286,116,1,18
6,50628,506286,122,1,10
6,50639,506396,15,1,48
6,50639,506396,81,1,2
6,50639,506396,202,1,3
6,50646,506466,202,1,71
6,50646,506466,818,1,43
6,50651,506516,20,1,25
6,50651,506516,108,1,10
6,50651,506516,119,1,2
6,50659,506596,64,3,1
6,50659,506596,122,1,2
6,50659,506596,133,1,28
6,50668,506686,15,1,2
6,50668,506686,64,1,2
6,50668,506686,122,1,84
6,50679,506796,202,1,33
6,50679,506796,361,1,2
6,50679,506796,431,1,6
6,50679,506796,631,1,77
6,50703,507036,15,3,2
