SPCD,n_1,n_3
11,334,475
15,739,700
17,512,668
19,308,250
20,198,161
22,72,134
41,15,14
42,19,21
62,5,8
64,129,293
73,273,207
81,303,358
93,214,210
98,89,60
101,71,39
103,43,22
108,883,864
116,138,148
117,224,117
119,156,137
122,1227,1410
127,39,46
133,54,50
202,2652,2726
211,48,83
231,44,32
242,212,464
263,809,1108
264,171,239
312,235,294
333,24,17
351,655,455
352,25,16
361,313,155
375,42,14
431,119,106
492,29,25
542,13,27
631,276,256
746,59,23
747,31,40
768,59,96
801,64,33
805,225,282
807,67,60
815,89,103
818,326,165
821,9,4
839,87,62
981,39,116
