STATECD,INVYR,PLOT_STATUS_CD,PLOT_FIADB,plt_cn,intensification,propfor,propnonfor,propwater,propmiss,STRATUM
6,2003,2,69459,24257785010900,0,0,1,0,0,0
6,2013,2,69459,44541906020004,0,0,1,0,0,0
6,2007,2,68132,22956366010497,0,0,0,1,0,0
6,2017,2,68132,412223082489998,0,0,0,1,0,0
6,2008,2,60907,22929809010497,0,0,0,1,0,0
6,2018,2,60907,484817750489998,0,0,0,1,0,0
6,2014,2,84689,216960139020004,0,0,0,1,0,0
6,2004,2,84689,25135923010900,0,0,1,0,0,0
6,2009,2,85956,29879723010497,0,0,0,1,0,0
6,2019,2,85956,558628129126144,0,0,0,1,0,0
6,2007,2,83164,22956304010497,0,0,1,0,0,0
6,2017,2,83164,412223257489998,0,0,1,0,0,0
6,2009,2,55148,29879729010497,0,0,1,0,0,0
6,2019,2,55148,558627737126144,0,0,1,0,0,0
6,2001,2,61285,23680240010900,0,0,1,0,0,0
6,2011,2,61285,48205660010497,0,0,1,0,0,0
6,2008,2,87553,22929824010497,0,0,1,0,0,0
6,2018,2,87553,484817417489998,0,0,1,0,0,0
6,2010,2,76740,40217533010497,0,0,1,0,0,0
6,2005,2,54820,15262979010497,0,0,1,0,0,0
6,2015,2,54820,273640687489998,0,0,1,0,0,0
6,2007,2,65629,22956386010497,0,0,1,0,0,0
6,2017,2,65629,412222738489998,0,0,1,0,0,0
6,2009,2,84116,29879896010497,0,0,1,0,0,0
6,2019,2,84116,558627167126144,0,0,1,0,0,0
6,2009,2,80367,29879902010497,0,0,1,0,0,0
6,2019,2,80367,558627165126144,0,0,1,0,0,0
6,2014,2,55209,216960272020004,0,0,0,1,0,0
6,2004,2,55209,25060334010900,0,0,0,1,0,0
6,2002,2,52440,23822052010900,0,0,0,1,0,0
6,2012,2,52440,30762068020004,0,0,0,1,0,0
6,2009,2,96189,29879911010497,0,0,1,0,0,0
6,2019,2,96189,558627772126144,0,0,1,0,0,0
6,2001,2,73263,23680263010900,0,0,1,0,0,0
6,2011,2,73263,48203190010497,0,0,1,0,0,0
6,2008,2,72515,22929876010497,0,0,0,1,0,0
6,2018,2,72515,484817243489998,0,0,0,1,0,0
6,2016,2,63093,345933635489998,0,0,0,1,0,0
6,2006,2,63093,8894176010901,0,0,0,1,0,0
6,2008,2,82468,22929877010497,0,0,0,1,0,0
6,2018,2,82468,484817245489998,0,0,0,1,0,0
6,2001,2,58758,23680287010900,0,0,1,0,0,0
6,2011,2,58758,48204801010497,0,0,1,0,0,0
6,2003,2,66888,24313460010900,0,0,1,0,0,0
6,2013,2,66888,44541894020004,0,0,1,0,0,0
6,2005,2,93160,13084097010497,0,0,1,0,0,0
6,2015,2,93160,273643303489998,0,0,1,0,0,0
6,2007,2,58124,22956401010497,0,0,0,1,0,0
6,2017,2,58124,412220078489998,0,0,0,1,0,0
6,2010,2,62706,9827835010902,0,0,0,1,0,0
6,2002,2,81095,23822094010900,0,0,0,1,0,0
6,2012,2,81095,30762066020004,0,0,0,1,0,0
6,2014,2,89784,216958371020004,0,0,0,1,0,0
6,2004,2,89784,25060396010900,0,0,0,1,0,0
6,2016,2,60006,345933632489998,0,0,1,0,0,0
6,2006,2,60006,8894203010901,0,0,0,1,0,0
6,2002,2,76602,23789486010900,0,0,1,0,0,0
6,2012,2,76602,30762152020004,0,0,1,0,0,0
6,2014,2,56743,216959888020004,0,0,1,0,0,0
6,2004,2,56743,25052344010900,0,0,1,0,0,0
6,2009,2,97310,29879987010497,0,0,0,1,0,0
6,2019,2,97310,558627570126144,0,0,0,1,0,0
6,2001,2,93909,23668386010900,0,0,0,1,0,0
6,2011,2,93909,48202500010497,0,0,1,0,0,0
6,2003,2,81132,24318978010900,0,0,0,1,0,0
6,2013,2,81132,44540294020004,0,0,0,1,0,0
6,2016,2,55340,345933631489998,0,0,0,1,0,0
6,2006,2,55340,8894242010901,0,0,0,1,0,0
6,2014,2,60538,216960121020004,0,0,1,0,0,0
6,2004,2,60538,25052369010900,0,0,1,0,0,0
6,2001,2,71460,23668406010900,0,0,0,1,0,0
6,2011,2,71460,48204367010497,0,0,0,1,0,0
6,2003,2,71580,24319026010900,0,0,0,1,0,0
6,2013,2,71580,44542134020004,0,0,0,1,0,0
6,2005,2,97569,15262026010497,0,0,0,1,0,0
6,2015,2,97569,273641059489998,0,0,0,1,0,0
6,2007,2,94947,22956405010497,0,0,0,1,0,0
6,2017,2,94947,412221511489998,0,0,0,1,0,0
6,2009,2,58978,29879991010497,0,0,0,1,0,0
6,2019,2,58978,558627600126144,0,0,0,1,0,0
6,2010,2,53432,9827914010902,0,0,0,1,0,0
6,2002,2,84582,23822217010900,0,0,0,1,0,0
6,2012,2,84582,30762074020004,0,0,0,1,0,0
6,2014,2,95926,216959971020004,0,0,0,1,0,0
6,2004,2,95926,25060486010900,0,0,0,1,0,0
6,2016,2,59963,345933630489998,0,0,0,1,0,0
6,2006,2,59963,8894308010901,0,0,0,1,0,0
6,2008,2,59594,22929896010497,0,0,0,1,0,0
6,2018,2,59594,484817254489998,0,0,0,1,0,0
6,2014,2,96642,216960240020004,0,0,0,1,0,0
6,2004,2,96642,25060514010900,0,0,0,1,0,0
6,2002,2,61236,23822242010900,0,0,0,1,0,0
6,2012,2,61236,30762073020004,0,0,0,1,0,0
6,2008,2,77270,22929900010497,0,0,0,1,0,0
6,2018,2,77270,484817250489998,0,0,0,1,0,0
6,2005,3,96707,13081501010497,0,0,0,0,1,0
6,2015,2,96707,273643114489998,0,0,1,0,0,0
6,2003,2,80263,24319104010900,0,0,0,1,0,0
6,2013,2,80263,44540273020004,0,0,0,1,0,0
6,2005,2,89502,15262139010497,0,0,0,1,0,0
6,2015,2,89502,273640722489998,0,0,0,1,0,0
6,2007,2,99876,22956412010497,0,0,0,1,0,0
6,2017,2,99876,412220080489998,0,0,0,1,0,0
6,2007,2,75015,22954822010497,0,0,0,1,0,0
6,2017,2,75015,412220077489998,0,0,0,1,0,0
6,2009,2,85992,29880074010497,0,0,0,1,0,0
6,2019,2,85992,558627806126144,0,0,0,1,0,0
6,2001,2,77295,23710261010900,0,0,0,1,0,0
6,2011,2,77295,48204362010497,0,0,0,1,0,0
6,2016,2,94079,345933496489998,0,0,0,1,0,0
6,2006,2,94079,8927845010901,0,0,0,1,0,0
6,2010,2,63054,15655117010497,0,0,0,1,0,0
6,2010,2,66063,9827836010902,0,0,0,1,0,0
6,2008,2,65343,22930089010497,0,0,0,1,0,0
6,2018,2,65343,484817396489998,0,0,0,1,0,0
6,2001,2,58977,23711509010900,0,0,0,1,0,0
6,2011,2,58977,48204922010497,0,0,0,1,0,0
6,2010,2,81506,40217664010497,0,0,1,0,0,0
6,2003,2,85267,24284353010900,0,0,1,0,0,0
6,2013,2,85267,44542599020004,0,0,1,0,0,0
6,2010,2,55174,40217670010497,0,0,1,0,0,0
6,2009,2,89323,29878996010497,0,0,1,0,0,0
6,2019,2,89323,558627726126144,0,0,1,0,0,0
6,2016,2,63424,345934233489998,0,0,1,0,0,0
6,2006,2,63424,8929427010901,0,0,1,0,0,0
6,2008,2,63870,29394834010497,0,0,1,0,0,0
6,2018,2,63870,484817633489998,0,0,1,0,0,0
6,2002,2,81153,23789707010900,0,0,1,0,0,0
6,2012,2,81153,30761931020004,0,0,1,0,0,0
6,2005,2,88090,15254666010497,0,0,1,0,0,0
6,2015,2,88090,273641329489998,0,0,1,0,0,0
6,2001,2,89796,23723550010900,0,0,0,1,0,0
6,2011,2,89796,48203189010497,0,0,0,1,0,0
6,2008,2,90028,22930640010497,0,0,0,1,0,0
6,2018,2,90028,484817416489998,0,0,0,1,0,0
6,2009,2,65291,29879345010497,0,0,0,1,0,0
6,2019,2,65291,558627964126144,0,0,0,1,0,0
6,2010,2,92288,40217778010497,0,0,1,0,0,0
6,2003,2,75312,24314868010900,0,0,0,1,0,0
6,2013,2,75312,44543708020004,0,0,0,1,0,0
6,2014,2,53722,216958580020004,0,0,0,1,0,0
6,2004,2,53722,25017911010900,0,0,0,1,0,0
6,2007,2,60208,22952941010497,0,0,1,0,0,0
6,2017,2,60208,412220027489998,0,0,1,0,0,0
6,2002,2,61060,23949965010900,0,0,1,0,0,0
6,2012,2,61060,30763032020004,0,0,1,0,0,0
6,2003,2,59697,24269610010900,0,0,1,0,0,0
6,2013,2,59697,44543453020004,0,0,1,0,0,0
6,2010,2,52306,40217863010497,0,0,0,1,0,0
6,2008,2,81918,22930790010497,0,0,1,0,0,0
6,2018,2,81918,484817541489998,0,0,1,0,0,0
6,2005,2,55221,15263698010497,0,0,0,1,0,0
6,2015,2,55221,273641769489998,0,0,0,1,0,0
6,2009,2,62147,29879831010497,0,0,0,1,0,0
6,2019,2,62147,558627059126144,0,0,0,1,0,0
6,2001,2,55154,23722067010900,0,0,0,1,0,0
6,2011,2,55154,48203482010497,0,0,0,1,0,0
6,2007,2,61742,22955066010497,0,0,1,0,0,0
6,2017,2,61742,412220626489998,0,0,1,0,0,0
6,2016,2,79738,345934352489998,0,0,1,0,0,0
6,2006,2,79738,8896592010901,0,0,0,1,0,0
6,2007,2,72732,22955163010497,0,0,0,1,0,0
6,2017,2,72732,412222919489998,0,0,0,1,0,0
6,2007,2,69466,22955166010497,0,0,0,1,0,0
6,2017,2,69466,412219912489998,0,0,0,1,0,0
6,2016,2,92893,345933900489998,0,0,0,1,0,0
6,2006,2,92893,8900696010901,0,0,0,1,0,0
6,2009,2,62130,29879557010497,0,0,1,0,0,0
6,2019,2,62130,558628059126144,0,0,1,0,0,0
