STATECD,PLOT_FIADB,INVYR,pre.svpd,post.svpd
6,69459,2003,-1.897761836,-2.08339699
6,68132,2007,-5.898308363,-6.80279275
6,60907,2008,2.774164701,2.947388503
6,84689,2004,3.779512529,4.755904917
6,85956,2009,5.424173853,5.418239036
6,83164,2007,-3.169736933,-2.447346323
6,55148,2009,6.752981837,6.894094298
6,61285,2001,4.431318984,5.042814644
6,87553,2008,6.78875578,6.703587457
6,54820,2005,-2.796562439,-2.98559187
6,65629,2007,-3.346664127,-4.317715653
6,84116,2009,-0.835671286,-0.910025122
6,80367,2009,-1.519215466,-0.570266446
6,55209,2004,4.026129374,4.340266954
6,52440,2002,-5.559684502,-6.024592605
6,96189,2009,6.637212853,7.078154673
6,73263,2001,6.602355856,6.781419758
6,72515,2008,-5.179096378,-5.03797558
6,63093,2006,1.441154447,0.840807185
6,82468,2008,-2.844519763,-1.923762536
6,58758,2001,-0.921358557,-1.199708935
6,66888,2003,-4.113994867,-4.537078706
6,93160,2005,-5.771306309,-5.496713772
6,58124,2007,-3.581865437,-3.28185531
6,81095,2002,0.35148271,0.000966457
6,89784,2004,-1.142832462,-0.487538532
6,60006,2006,2.750458959,3.087778631
6,76602,2002,6.84191876,6.772735155
6,56743,2004,3.751119064,3.161636283
6,97310,2009,3.561928191,3.691973659
6,93909,2001,-5.1454685,-6.071106007
6,81132,2003,2.987985748,2.476402532
6,55340,2006,2.922829572,2.05296994
6,60538,2004,-3.427101714,-2.52769789
6,71460,2001,4.401681201,4.220399774
6,71580,2003,-4.379237104,-5.09799615
6,97569,2005,-4.798974671,-4.298932844
6,94947,2007,2.817044013,3.131397077
6,58978,2009,4.045978272,4.54585632
6,84582,2002,4.170293649,3.418544937
6,95926,2004,-2.832563727,-3.584754936
6,59963,2006,-4.50152907,-4.611268046
6,59594,2008,6.233814696,5.991767973
6,96642,2004,-4.0259503,-4.091277538
6,61236,2002,-1.922434372,-1.65827757
6,77270,2008,5.508953884,5.970594433
6,96707,2005,6.981307223,7.024860916
6,80263,2003,-3.907486651,-3.524623693
6,89502,2005,2.852517908,2.74995041
6,99876,2007,6.187263125,6.964817607
6,75015,2007,-3.135328991,-3.099278914
6,85992,2009,5.536642492,6.120022718
6,77295,2001,4.498709337,5.264164529
6,94079,2006,-1.53190554,-2.124345379
6,65343,2008,-5.091535515,-5.205798259
6,58977,2001,5.723428368,5.86125606
6,85267,2003,-3.744196473,-3.320958934
6,89323,2009,1.899122286,1.77221135
6,63424,2006,-5.831303267,-5.640213126
6,63870,2008,-3.884596512,-4.577083315
6,81153,2002,6.840191191,7.654536353
6,88090,2005,-3.538881343,-4.274962224
6,89796,2001,6.12691825,5.836482099
6,90028,2008,-4.366875837,-3.665463917
6,65291,2009,4.150659263,4.137698737
6,75312,2003,-4.33470972,-4.349034854
6,53722,2004,5.626802242,4.662695168
6,60208,2007,-5.174912921,-4.36133799
6,61060,2002,-2.036620702,-1.484070694
6,59697,2003,-1.200933108,-1.179548241
6,81918,2008,6.152367132,6.723459123
6,55221,2005,-3.704215705,-3.740921944
6,62147,2009,2.657206859,1.66437855
6,55154,2001,-2.549848519,-3.338489434
6,61742,2007,2.242060231,1.966536321
6,79738,2006,3.174661461,2.672428936
6,72732,2007,-2.956911907,-2.898018984
6,69466,2007,2.681369175,3.210144365
6,92893,2006,1.486697314,2.40378052
6,62130,2009,-5.622868693,-4.953307649
6,84929,2003,0.11972892,-0.423532791
6,55510,2002,3.58538876,2.685411733
6,57068,2001,1.610152402,1.942423891
6,52542,2001,-4.321935857,-4.95223043
6,92730,2009,1.830704998,1.327976485
6,92239,2007,1.676141716,1.090029923
6,83958,2003,2.895732509,3.737946314
6,66125,2005,-2.389986847,-2.73777993
6,59447,2002,-4.397176597,-3.730324038
6,79785,2009,4.793574812,5.304529155
6,96764,2006,3.703628133,2.868403527
6,54753,2008,-1.238500552,-0.514925151
6,74822,2003,-3.147214098,-3.514786003
6,70946,2006,-3.77501671,-4.296270781
6,80830,2007,1.44388352,1.739774711
6,55685,2009,-0.590051953,0.267599237
6,87139,2009,0.576979926,1.08784244
6,70406,2003,6.7652558,7.626998029
6,80359,2004,-5.628961958,-4.808386367
6,66098,2008,-4.783086962,-4.227339715
6,67638,2009,-5.266672844,-5.625724523
6,94249,2009,3.744201497,3.469469171
6,51576,2001,1.4001554,0.631597378
6,62877,2003,-1.831122307,-1.523966355
6,80491,2008,-4.819297138,-5.29474937
6,59093,2002,5.036966003,4.923509145
6,86776,2005,-4.178077027,-3.37996459
6,75148,2006,1.45809582,1.260039181
6,97889,2003,0.644340496,-0.274465008
6,83517,2009,-3.227546437,-3.221641397
6,98451,2003,-0.32229578,0.517327274
6,51199,2002,-4.264536052,-3.593809359
6,84253,2006,3.275870935,2.283462961
6,56643,2003,6.58539287,7.218628897
6,93429,2007,5.428339147,4.625922173
6,51434,2005,-0.850367226,-1.782606645
6,57971,2006,3.424700346,2.535277141
6,61651,2008,2.86089228,2.892856941
6,59197,2003,2.664518046,3.455713138
6,75351,2005,3.909653422,4.825924626
6,74018,2007,5.904584694,6.811835697
6,98977,2009,-1.43565497,-1.608332538
6,75921,2001,0.570831031,0.729095934
6,79229,2001,5.883545328,5.626886193
6,51559,2003,1.342239695,1.568492718
6,92283,2005,-1.750848887,-0.802854498
6,76194,2002,-1.734886799,-1.786325481
6,54727,2004,-5.317766881,-5.480564259
6,61797,2006,-2.951263021,-3.59267526
6,91446,2002,5.428595283,4.868307681
6,88447,2004,4.020159489,4.869311726
6,66937,2006,4.636536723,4.200424273
6,58475,2008,-1.220316296,-1.996704404
6,77594,2001,6.121629028,5.691961926
6,81443,2003,0.528076189,-0.058526979
6,92166,2005,-3.663677707,-3.626518061
6,50664,2005,3.022013372,2.153178538
6,86089,2007,-2.013468056,-1.558167814
6,73237,2009,-3.159192128,-3.181818495
6,63040,2001,-2.25857119,-1.385900046
6,61019,2008,1.385101889,0.489374956
6,93917,2001,-1.074784353,-1.164144696
6,98076,2006,-4.213480722,-4.100072305
6,88849,2002,0.781655454,0.650728922
6,98262,2004,-3.431278314,-3.590428508
6,59043,2002,5.981152249,5.141592252
6,61286,2003,-4.949786443,-4.483862496
6,95098,2009,-2.21394533,-1.583954905
6,99284,2003,3.079071294,2.091484323
6,95917,2009,3.637929593,3.941249608
6,72574,2006,-0.512959137,0.398227599
6,97877,2009,-4.466754858,-4.195971185
6,62967,2001,-0.613044244,-0.660317094
6,61904,2001,-3.788199772,-3.510997709
6,76399,2008,-2.297265251,-3.140436338
6,61575,2002,-4.777440039,-4.858414699
6,62023,2005,-3.400105348,-4.21275031
6,54825,2005,-0.540377203,-0.709582673
6,83752,2004,6.110987944,5.741790221
6,77523,2006,1.325499209,1.944699721
6,76323,2008,3.481843501,3.986527007
6,61511,2004,0.187102111,-0.404978657
6,59666,2006,0.475727103,0.603663633
6,68087,2008,2.365240212,1.895781086
6,58966,2002,4.461280191,4.375764886
6,55559,2004,5.365314499,5.785221318
6,83063,2009,-3.124699245,-3.16607991
6,90040,2005,-4.14660675,-4.360169567
6,72088,2005,-3.262006453,-4.03167199
6,51527,2003,-4.463793617,-3.963281035
6,57465,2005,3.8284582,3.436540622
6,63595,2007,6.409725198,6.389363156
6,86412,2006,5.875493212,5.254872853
6,60158,2006,-3.07665019,-3.288383522
6,51525,2003,-0.96356724,-1.163392582
6,97423,2007,3.383111314,2.7585343
6,93287,2001,-1.124476858,-0.734536218
6,83094,2009,2.219228143,1.910527366
6,65195,2008,-0.258814525,0.332713282
6,91760,2009,-2.907847503,-3.893838324
6,80401,2007,-1.603927605,-1.185346941
6,97860,2001,0.239160049,0.31428607
6,60696,2007,-5.963529625,-5.903801452
6,72050,2001,-2.866589857,-2.013424005
6,94371,2007,0.686122347,0.256188476
6,53893,2003,1.391062742,0.718818592
6,95620,2004,-5.985091554,-5.961004367
6,82550,2004,-0.86981149,-1.374612948
6,82871,2003,3.114527319,2.913520873
6,51549,2007,0.448927464,0.692209239
6,50533,2009,2.786483154,3.617505013
6,57441,2002,5.109210495,5.178226842
6,75013,2002,-4.657074101,-4.54242426
6,78769,2009,-0.650685718,-0.395570068
6,70928,2009,6.551009533,5.66752995
6,96611,2006,-5.631626342,-6.076681771
6,94509,2008,-1.102795829,-1.378037209
6,92501,2001,-0.02557502,0.131771474
6,64496,2005,-0.543785837,0.101412712
6,83310,2007,-4.302596852,-5.29550053
6,52120,2008,-3.752854745,-2.949102224
6,94559,2009,1.876071987,2.727224117
6,75721,2001,-5.34741393,-4.806342134
6,56093,2004,-4.198477317,-3.935764128
6,87099,2006,3.205847951,3.61127243
6,86909,2003,4.956034365,4.662177
6,82992,2005,-1.857243311,-2.756043207
6,88080,2009,5.78108971,6.202435943
6,66893,2001,-5.985259096,-6.362537317
6,67179,2009,-5.480901173,-5.166056002
6,82825,2005,-5.191642545,-4.914210049
6,61318,2001,0.702379232,0.679926735
6,69798,2009,1.991231061,2.5427936
6,75349,2003,-4.160906131,-4.741060199
6,83652,2009,-5.909810923,-5.211075449
6,90396,2005,3.713783309,4.150183798
6,84834,2002,0.136292895,0.714189666
6,73609,2006,6.1905584,6.325548479
6,69639,2006,-2.370942237,-2.929930458
6,52782,2008,1.952755477,1.996573303
6,89143,2005,-3.165597659,-3.409969173
6,66223,2008,5.847678632,5.731678952
6,68773,2003,6.735520468,6.145500657
6,82378,2008,-0.831270519,-0.267950276
6,65418,2006,-0.862951589,-0.489622136
6,79790,2009,1.317104962,2.292746264
6,72617,2007,-5.40608601,-4.903968821
6,55825,2004,5.685490751,6.350429264
6,68667,2003,1.628870567,2.005049304
6,69002,2005,2.378670732,2.776761784
6,93262,2008,6.609179542,6.897924925
6,79025,2001,1.708053828,2.226440301
6,95321,2009,1.008220548,0.458241278
6,55496,2001,2.158061037,1.540673982
6,98547,2002,2.130989877,1.145541966
6,67682,2001,4.424665955,3.733042034
6,54577,2002,-5.566594977,-5.813270601
6,61620,2005,2.614935407,2.790906924
6,60249,2003,-3.961329148,-4.400814342
6,72788,2003,-0.207240027,-0.640296605
6,57413,2007,-2.55880761,-2.007135799
6,94582,2009,4.08384559,3.963865548
6,51902,2008,1.243555954,1.478304435
6,78884,2001,3.411812659,3.736949021
6,52596,2002,3.00582552,3.02158945
6,63117,2001,3.698345336,3.424085027
6,63346,2001,5.046788113,4.63930201
6,86035,2003,3.156123422,3.585125076
6,92890,2009,2.658282984,3.071600536
6,90345,2008,2.047539243,2.769095815
6,77838,2009,3.309306283,2.388947583
6,96146,2009,-2.647494981,-3.596510076
6,82241,2009,-4.085414649,-3.995974048
6,98508,2007,5.258615006,5.729606248
6,63514,2001,-0.328516744,-0.464625517
6,78268,2003,5.703616838,5.259503782
6,76825,2005,0.72420012,0.203113172
6,93902,2006,-1.12783031,-0.584766755
6,82548,2004,-0.857396572,-1.775026689
6,96723,2004,0.319027398,0.396188687
6,58604,2004,2.54251909,2.974058365
6,64227,2009,-3.948284691,-4.406930701
6,92596,2007,1.309348152,1.305174804
6,76496,2006,1.874919472,1.811424302
6,83124,2009,2.367088104,3.046604729
6,71938,2002,-2.262769374,-3.109226257
6,88072,2002,2.341073256,3.278695078
6,79106,2001,-2.51507709,-3.312212802
6,68228,2004,3.071956639,2.589174573
6,89675,2007,-5.919945877,-5.385857577
6,96501,2006,-1.909817181,-2.071376714
6,62105,2006,0.649601009,1.378872013
6,90280,2002,5.177327277,5.221636898
6,62804,2001,1.93169148,1.811308798
6,51908,2004,-1.830263174,-1.164539229
6,50742,2006,1.097126289,1.047118241
6,89391,2007,-5.16134594,-6.025601922
6,59549,2007,-4.082928768,-4.4796563
6,74685,2007,0.650882348,-0.141982725
6,89405,2005,-1.018207627,-1.406433728
6,73642,2005,-5.127695622,-5.81339042
6,86006,2002,-1.414533784,-1.363983998
6,60033,2004,2.330694841,1.955491498
6,65433,2008,5.525283606,4.656144184
6,83119,2008,3.123735053,4.106014493
6,86273,2003,0.782672875,0.098546241
6,62662,2005,1.916821446,1.736238676
6,79114,2009,-1.36178935,-1.76603813
6,87512,2007,6.265949145,5.876159223
6,57753,2009,-5.491104933,-6.395125919
6,96612,2006,-1.389155448,-1.630156167
6,55524,2008,1.531128833,1.918349329
6,63873,2006,-1.462364459,-0.938685325
6,64968,2008,-0.971872112,-1.419263485
6,58246,2002,1.832690209,1.366254658
6,97756,2004,-3.297158544,-2.839632176
6,54419,2006,2.318797849,1.759458165
6,50017,2002,-2.508483495,-2.406068446
6,50018,2005,-2.041689669,-2.678062406
6,50019,2006,-2.520480912,-2.973024896
6,79741,2007,-2.095731963,-2.868880364
6,80870,2002,-3.593030522,-2.94225273
6,50022,2003,2.260096738,2.810805357
6,80887,2007,-2.896259639,-3.131927782
6,50024,2001,4.667490898,4.052521033
6,50025,2002,6.744048552,6.834488761
6,50027,2006,-5.236761541,-5.437260769
6,50028,2005,0.976473071,0.214475387
6,79564,2008,-1.523908061,-2.040299037
6,50030,2004,-0.448142871,-1.440037064
6,50031,2002,-3.734045346,-2.898437609
6,79575,2001,1.290841709,0.963392969
6,50038,2008,2.066788095,1.505465857
6,50039,2001,-1.995548704,-1.601015227
6,50040,2007,0.203866385,0.992767991
6,79821,2005,3.867971067,3.04606753
6,79845,2006,-4.150375578,-5.10355424
6,79872,2003,4.741778209,5.001886157
6,50044,2001,-1.936537387,-1.659431118
6,79874,2004,3.977918496,3.822051587
6,50046,2005,3.07299183,3.657928936
6,79470,2004,-4.944589043,-5.790826125
6,79483,2009,-0.060109395,-0.513678762
6,50049,2002,6.22265518,5.626328641
6,50050,2008,6.335562652,5.814312137
6,50052,2001,-0.552083342,0.255496225
6,50053,2005,-3.253987822,-2.50734243
6,50054,2006,1.33421739,1.949758662
6,80052,2006,5.488941768,4.972610178
6,79508,2009,-3.878283799,-3.247474502
6,79528,2006,-2.658581892,-2.774965217
6,50064,2008,2.661401604,1.924256781
6,50065,2009,6.23111455,6.855166545
6,50071,2005,-1.641561784,-2.243387812
6,50072,2001,-1.60687705,-2.304790596
6,79536,2004,-4.368482583,-4.106652236
6,79545,2008,0.231649071,0.404289579
6,79547,2001,-3.148897227,-2.454417648
6,50077,2002,3.473883607,3.101360171
6,50080,2008,-3.824424529,-3.18764531
6,81032,2002,5.358690341,6.260805331
6,80757,2003,0.423289367,0.324013756
6,79933,2009,5.485444743,5.81603781
6,79960,2001,1.020321419,1.126293053
6,50086,2009,2.863631432,2.985332942
6,50087,2007,-2.28419497,-1.610231464
6,50088,2004,-0.29426154,-1.164325389
6,50089,2005,-5.637889076,-5.726857964
6,50090,2003,-2.870145898,-2.819669951
6,50091,2006,1.675512111,1.975948317
6,50093,2008,2.372715879,3.012322504
6,50094,2007,3.000361252,2.176048718
6,79650,2003,1.100867587,1.420064641
