spp,pred1,pred2,x.min,x.max,aic.vals,moran.p,slope.true,int.p,slp.p,int.coef,slp.coef,center.adj,int.alone.est,int.alone.p
X11,-103.73415711843221,232.06113607462868,635.35822753,5210.4578614,,,1,0.00398001756624744,0,27.93802182934614,0.07339627987708265,2429.348047835482,28.06458278259428,0.0018262986865076325
X15,-85.28505214881869,90.35352094031916,248.15001068,4024.6353759,,,1,0,1.3322676295501878e-15,-46.10110908985155,0.04650847444205731,1090.6619083296325,-46.244395651760094,0
X17,6.9461080380020075,75.10995616177297,369.26141663,4091.3058837,,,1,5.414122483671235e-10,2.58440859193243e-5,18.476680542658396,0.018313550181045975,998.8811457740638,18.543444714393548,2.4331958670131826e-10
X19,-5.42815966165136,116.22155854640911,400.839917,4576.1560791,,,1,0.0015989641332485593,6.385654975737953e-4,21.14227510733577,0.029135450702462738,1312.8022902726814,21.005926998367517,0.0012877185944866198
X20,-112.73919368590846,20.987635737512058,370.70961456,2435.5993775,,,1,4.483302618041307e-12,1.3709884864931965e-5,-53.25615734937727,0.06476221240644808,1289.1933124796333,-53.698216444369855,9.547918011776346e-13
X22,-74.05307423844354,147.40948158116538,432.76702269,4603.2381347,,,1,0.04928748577183151,2.0957539703658767e-6,21.82907747300056,0.053102527237713644,2238.3713262710203,21.489489319294194,0.04509495107870132
X41,-81.99376525718795,-81.99376525718795,1211.26725467,4369.3065918,,,0,7.05103266522622e-4,NA,-81.99376525718795,NA,2472.094885328427,-81.99376525718795,7.05103266522622e-4
X42,32.5132962777461,32.5132962777461,805.37153319,5085.9278809,,,0,0.16555508753022075,NA,32.5132962777461,NA,2519.812833225763,32.5132962777461,0.16555508753022075
X62,-28.334605572504138,-140.19931185497572,136.208804314,760.24862981,,,1,5.955230641951914e-8,0.009120700576958019,-58.345051093415314,-0.1792589218060869,303.6227618372687,-59.1207467425556,4.6472680281794965e-7
X64,-21.19988388554918,-21.19988388554918,215.9523117,1764.73087772,,,0,0,NA,-21.19988388554918,NA,458.5365222841573,-21.19988388554918,0
X73,7.092710990595619,47.62777715370457,374.30772094,2630.836548,,,1,3.8994752626941853e-4,0.010760134243714026,14.311216397881157,0.01796346037197385,776.1515337583628,14.205345687904236,3.533752878415175e-4
X81,-74.46910545045252,57.04819282311381,286.0623169,4024.6353759,,,1,0,9.773542153368453e-8,-42.21409741767074,0.03517847483465919,1202.9584638871029,-42.25722382207788,0
X93,0.7803349639379107,93.79253199968319,364.66411743,2886.4400147,,,1,1.1107259354492527e-6,8.029420354604966e-6,26.378616916217336,0.03688360933913181,1058.6927770688176,26.093532759581947,8.703419338562668e-7
X98,-17.377901041658866,-17.377901041658866,748.85563353,4348.5204834,,,0,0.09466360323220147,NA,-17.377901041658866,NA,2434.3885343364645,-17.377901041658866,0.09466360323220147
X101,-37.34479041139871,86.81364808352627,316.51751557,2472.5915406,,,1,0.3376986279077834,7.42416117797795e-4,8.9167660697667,0.05758542473661007,1119.8728210619906,8.696574948063756,0.39520311356942717
X103,-76.75288464656944,-76.75288464656944,642.4162323,3755.4117554,,,0,4.02182531722417e-9,NA,-76.75288464656944,NA,1637.7267259133334,-76.75288464656944,4.02182531722417e-9
X108,-29.073098644410557,99.52834571322417,239.58021239,3917.6130127,,,1,0.05714490226212754,9.547918011776346e-15,-5.267567178516286,0.03496473559093754,920.4242417686862,-5.344100737074254,0.0479182903425055
X116,-66.91307658697141,-66.91307658697141,204.756209562,3649.1256837,,,0,0,NA,-66.91307658697141,NA,915.9265719734009,-66.91307658697141,0
X117,-96.12240134548117,49.87534680385935,248.15001068,4411.7923339,,,1,0,6.65537736677102e-6,-60.09419391162829,0.0350649111560648,1275.621812148445,-60.102357886468326,0
X119,-43.69721655622508,51.80826750808767,403.10471496,3917.6130127,,,1,0.037763883534208675,0.002260179386214922,-14.522261367603436,0.02717463610079607,1476.714498745365,-14.483791660238913,0.039092567565644165
X122,-31.605576746151215,86.64826931567977,230.717511,4024.6353759,,,1,1.0125233984581428e-13,2.55351295663786e-14,-15.741872673536852,0.031169321601786423,739.6700084359776,-15.735193293481219,4.440892098500626e-16
X127,-68.45263076016371,-68.45263076016371,230.416409292,1802.25317995,,,0,0,NA,-68.45263076016371,NA,777.6587785496124,-68.45263076016371,0
X133,-50.021730038670064,3.9618533460467447,156.23130875,901.38363645,,,1,2.1538326677728037e-14,0.018467979330551554,-38.70790646053092,0.07244637287968149,312.3995629830874,-38.642321872210125,9.769962616701378e-15
X202,-31.34584947299331,54.97634936684841,278.81681211,5210.4578614,,,1,5.5790468527439074e-5,4.5208281562736374e-13,-10.127917960378962,0.01750374732813723,1491.0104706934153,-10.15226724596044,2.3116605157635917e-5
X211,-170.50016177726442,170.96907359311413,527.12102814,3106.1879029,,,1,5.146771897557301e-12,0,-54.699376574868744,0.1324003028816981,1401.7473143492214,-57.397916875852374,9.983324743556565e-6
X231,-19.70776581869824,105.99707015988426,589.9112274,4166.9055663,,,1,0.011410158361161216,0.0020955235385018423,22.989025845090563,0.03514258734254507,1804.8699112217316,23.220295953749144,0.011199813223768729
X242,-25.643266469648456,113.53080010361124,403.63561706,5132.0224853,,,1,1.7016022849070112e-4,9.303918746539352e-9,21.232852629772847,0.02943373087935655,1996.2342343252692,21.182547753539545,1.4588712407048732e-4
X263,-55.957740167702084,115.65501346436666,535.12432557,5210.4578614,,,1,0.29982265030767463,2.220446049250313e-16,5.6468083837865155,0.03670599162966515,2213.448376123667,5.766007283029776,0.2653786911067546
X264,-52.96961325215062,199.03693453005926,482.15542603,5133.3103761,,,1,5.86418502273478e-4,3.912647983383977e-12,26.10650925974146,0.05418149910882181,1941.6226576964812,25.89204656779312,0.0013059413776430606
X312,-33.59596842886504,38.23353810795016,366.44831695,3870.1297364,,,1,0.30367660155965304,0.0028807313214613828,-6.313365322985532,0.02050115234166776,1697.2321992993216,-6.429061398491736,0.2984889586559838
X333,38.23353810795016,-67.94376674972257,271.92401124,1538.70737313,,,0,4.1300296516055823e-14,NA,-67.94376674972257,NA,821.5140217381667,-67.94376674972257,4.1300296516055823e-14
X351,-67.94376674972257,-10.508677171213682,399.51191405,5132.0224853,,,0,0.10193194271997763,NA,-10.508677171213682,NA,2105.8927546554473,-10.508677171213682,0.10193194271997763
X352,-10.508677171213682,-66.01001948842642,366.44831695,2876.926831,,,1,0.012643673186732762,0.0013326356414642415,-26.113208618810162,0.04605935668502752,1232.652574696081,-25.820451570174463,0.01567673526828539
X361,49.6210058403004,-36.6599414157866,449.73582153,4400.7663331,,,0,6.177169886711908e-11,NA,-36.6599414157866,NA,1464.8756034174212,-36.6599414157866,6.177169886711908e-11
X375,-36.6599414157866,-9.815094785233086,458.02310486,2655.5093261,,,1,0.027296311119680228,4.752568919563771e-5,18.12779453015176,0.05220010646103165,993.3264061328572,17.91216490673825,0.04011971014670834
X431,104.89391991014507,-14.96742003220289,681.56133425,4411.7923339,,,0,0.12683513666780732,NA,-14.96742003220289,NA,1779.0626684165625,-14.96742003220289,0.12683513666780732
X492,-14.96742003220289,-15.051791433772763,746.48484491,3870.1297364,,,0,0.26282246312192803,NA,-15.051791433772763,NA,1682.056032719469,-15.051791433772763,0.26282246312192803
X542,-15.051791433772763,-30.37060627422007,396.14241791,2009.3002808,,,0,0.011798480713426818,NA,-30.37060627422007,NA,1213.069373439853,-30.37060627422007,0.011798480713426818
X631,-30.37060627422007,-49.076828929412436,449.73582153,4411.7923339,,,0,3.7691183507604364e-10,NA,-49.076828929412436,NA,1885.9195175857478,-49.076828929412436,3.7691183507604364e-10
X746,-49.076828929412436,-9.399641184514131,362.52141723,2164.122522,,,0,0.17260652030756152,NA,-9.399641184514131,NA,712.8696641896063,-9.399641184514131,0.17260652030756152
X747,-9.399641184514131,19.855738349854455,267.9907158,3498.0518067000003,,,0,0.06945073954594738,NA,19.855738349854455,NA,1507.5996019230108,19.855738349854455,0.06945073954594738
X768,19.855738349854455,4.7455149450151755,388.12071227,4039.169629,,,0,0.643709072734794,NA,4.7455149450151755,NA,1822.3199350873233,4.7455149450151755,0.643709072734794
X801,4.7455149450151755,-89.11609733581369,287.390914164,1670.21149298,,,0,0,NA,-89.11609733581369,NA,705.569488895117,-89.11609733581369,0
X805,-89.11609733581369,-98.8037732905359,221.7987114,4411.7923339,,,1,0,5.941726788976087e-4,-70.47772344187148,0.026665605773079026,1284.067841518984,-70.50873999421479,0
X807,12.924944838764404,-64.7956466705771,236.539712509,1440.20816048,,,0,0,NA,-64.7956466705771,NA,594.3338696335353,-64.7956466705771,0
X815,-64.7956466705771,-27.68293449929684,325.93551484,2712.6585205,,,0,1.173934055387349e-5,NA,-27.68293449929684,NA,973.7404665662898,-27.68293449929684,1.173934055387349e-5
X818,-27.68293449929684,-93.08537341729725,243.757813256,2768.6352415,,,1,0,0.004917624078940808,-69.50434812691574,0.026694370011465286,1127.1285494918955,-69.4327647618723,0
X821,-25.685361114155015,-84.02290567558335,274.001313776,2809.8448242,,,0,3.488882782676228e-8,NA,-84.02290567558335,NA,870.1166277234838,-84.02290567558335,3.488882782676228e-8
X839,-84.02290567558335,-57.717458685934126,243.757813256,1693.51068718,,,0,2.1538326677728037e-14,NA,-57.717458685934126,NA,792.8680176190954,-57.717458685934126,2.1538326677728037e-14
X981,-57.717458685934126,-92.40373926331802,397.67522126,3875.7096435,,,1,1.91360927104256e-10,0.0017946110574400542,-55.78512957494487,0.03340500757337814,1493.8764302534703,-55.96082527794553,3.6597820329831166e-9
