spp,pred1,pred2,x.min,x.max,aic.vals,moran.p,slope.true,int.p,slp.p,int.coef,slp.coef,center.adj,int.alone.est,int.alone.p
X11,0.09620540505972539,0.09620540505972539,0.8779000366,10.3084005366,,,0,3.998241737690478e-9,NA,0.09620540505972539,NA,6.611302360357724,0.09620540505972539,3.998241737690478e-9
X15,0.31577749611558115,0.5458850165372071,3.0813001394999997,15.493100834,,,1,0,4.345607669931084e-5,0.4181589871327214,0.018539414713901487,8.60366924322209,0.41857611849440957,0
X17,0.3931564552067835,0.15677982166184998,2.14360013,13.193200683,,,1,0,2.72244865318072e-7,0.2870382728031461,-0.02139232385923277,7.104173048675106,0.2873703729059907,0
X19,0.1535882169707164,0.4764879184557641,0.8727000325,11.035500527,,,1,0,2.8486158987206522e-8,0.2764291651994159,0.03177270887682953,4.738940984913161,0.27768432197050213,0
X20,0.26124414721179945,0.6641904508464314,1.3651000678,12.433200646,,,1,0,1.3240399852953999e-5,0.47177474894906407,0.03640609342024635,7.1479397509005,0.4764642333974801,0
X22,0.1008043013048937,0.1008043013048937,2.7391000866999997,10.6606004709,,,0,4.943605405416385e-5,NA,0.1008043013048937,NA,7.09010155321746,0.1008043013048937,4.943605405416385e-5
X41,-0.02111799318917687,-0.02111799318917687,8.3314004898,12.963520431,,,0,0.5668537308057853,NA,-0.02111799318917687,NA,10.884014540017978,-0.02111799318917687,0.5668537308057853
X42,0.06473325572171368,0.31481374377206783,1.7778000952,9.7334505081,,,1,7.18810705209183e-5,0.009851675547037253,0.19326208529292632,0.03143432341431838,5.866605439509322,0.1932912214858803,6.99290833505728e-6
X62,0.026525116230539714,0.5958728471738635,9.6587004665,17.868000984000002,,,1,0,0.002952013271192655,0.3929854886794733,0.06935398816618162,14.942612497208955,0.3927577936098284,0
X64,0.11110473501163443,0.40149642882103537,-0.3873000166,12.612400532,,,1,0,0.005618458281660299,0.28984458666051643,0.022338337158133586,7.614184175512359,0.2897968464518217,0
X73,0.3164139886816214,0.3164139886816214,1.8504001021,9.3643005376,,,0,0,NA,0.3164139886816214,NA,6.243402956522301,0.3164139886816214,0
X81,0.31575770042338813,0.48158895468723606,5.6609003068,16.490300942,,,1,0,0.009397459164594002,0.38865439158410164,0.015313059314181086,10.421326663485335,0.389386120330381,0
X93,0.1975888225108779,0.4012530942824889,0.8727000325,10.2679006581,,,1,0,9.998415944711958e-5,0.29374705153995395,0.021677479799278313,5.308558348109057,0.29464369378220895,0
X98,-0.1312980698338181,-0.1312980698338181,4.508400154,12.170880508,,,0,4.3466764076960374e-7,NA,-0.1312980698338181,NA,10.109553913470707,-0.1312980698338181,4.3466764076960374e-7
X101,0.17839013318676256,0.5985149137950567,-0.2303000099,8.267700386,,,1,0,1.0902703061477226e-4,0.37303468724527883,0.049438074963021925,3.7068386065227488,0.37494470644270894,0
X103,0.2261239913377667,0.2261239913377667,6.4202902318,17.24820099,,,0,5.773626328142711e-7,NA,0.2261239913377667,NA,12.113736721468687,0.2261239913377667,5.773626328142711e-7
X108,0.10827908641733747,0.5005306064332273,-0.3873000166,12.534900572,,,1,0,3.607596443799821e-10,0.3005635709158825,0.030354854602855738,5.947254604539749,0.3010544361902721,0
X116,0.5992987383748806,0.5992987383748806,3.1820801257,14.243500709,,,0,0,NA,0.5992987383748806,NA,8.571993069903533,0.5992987383748806,0
X117,0.39103240567693326,0.39103240567693326,4.9837002278,15.553700829,,,0,0,NA,0.39103240567693326,NA,10.541654362225948,0.39103240567693326,0
X119,0.30007073963449726,0.30007073963449726,1.3651000678,12.534900572,,,0,0,NA,0.30007073963449726,NA,6.654065648236363,0.30007073963449726,0
X122,0.25200082724351913,0.40741399144379875,3.5474001883,17.242500876999998,,,1,0,3.371649817718314e-5,0.3031252851134091,0.011348084817551802,8.052517896868501,0.303268524086039,0
X127,0.33250039907488516,0.33250039907488516,9.8412006382,17.928670883,,,0,0,NA,0.33250039907488516,NA,14.872863322429186,0.33250039907488516,0
X133,0.5868068990022062,0.5868068990022062,4.9395001889,17.280300903,,,0,0,NA,0.5868068990022062,NA,10.101340614507281,0.5868068990022062,0
X202,0.10127332388307453,0.1927032703120628,1.2576000662,16.593400762,,,1,0,0.010467387006501072,0.1467978260373134,0.005961863240308548,8.893552170308112,0.1467481386681434,0
X211,-0.24327012550536975,0.2510126399034257,10.6841005331,15.439960861,,,1,0.9274780890649947,5.466396502118442e-7,-0.00287754887904483,0.1039313039765092,12.997095438664344,-0.007872092597166104,0.7472290977046752
X231,0.058429797976041795,0.058429797976041795,5.2598002433,15.493100834,,,0,0.10477247306863058,NA,0.058429797976041795,NA,9.301727964943723,0.058429797976041795,0.10477247306863058
X242,0.1989500716300898,-0.11487407498724558,2.0081101058,12.586200618,,,1,0.5056882919164996,1.1918232400986994e-8,0.008372768686208528,-0.02966737203235248,8.431911402930577,0.007622150975538209,0.6034186634606793
