spp,pred1,pred2,x.min,x.max,aic.vals,moran.p,slope.true,int.p,slp.p,int.coef,slp.coef,center.adj,int.alone.est,int.alone.p
X11,28.06458278259428,28.06458278259428,647.125230425,5253.00383295,,,0,0.0018262986865076325,NA,28.06458278259428,NA,2399.261312043526,28.06458278259428,0.0018262986865076325
X15,-24.570532053464238,-121.33368770465977,300.144113175,4032.65997305,,,1,0,6.449625428617267e-6,-46.27972149788444,-0.02592437896685483,1137.5485297736045,-46.244395651760094,0
X17,29.101604002872577,-35.47271540473181,379.85512009,4066.8495728,,,1,2.1094215263417482e-10,5.22244981004949e-5,18.593614144689212,-0.017514080977296082,979.8289281250958,18.543444714393548,2.4331958670131826e-10
X19,47.9281658679824,-72.63128946079463,405.338873295,4362.8417847499995,,,1,0.0015066188196326546,3.13786648450165e-4,20.904971220285926,-0.030463516521950614,1292.4063472100615,21.005926998367517,0.0012877185944866198
X20,9.24923771777506,-140.50975515165058,458.094171145,2547.30156845,,,1,1.1164402735630574e-12,1.171384038878287e-6,-54.17843779314529,-0.07168220496567702,1342.9396574311834,-53.698216444369855,9.547918011776346e-13
X22,21.489489319294194,21.489489319294194,426.14567107,4642.0238403,,,0,0.04509495107870132,NA,21.489489319294194,NA,2217.8474593392516,21.489489319294194,0.04509495107870132
X41,-12.615358515661214,-177.44467729078627,1204.14539796,4384.4471802,,,1,4.411566347359841e-4,0.017785659263023224,-82.42570774634865,-0.05182820061152496,2551.102236264045,-81.99376525718795,7.05103266522622e-4
X42,32.5132962777461,32.5132962777461,778.869137605,5234.92286375,,,0,0.16555508753022075,NA,32.5132962777461,NA,2481.5805616906778,32.5132962777461,0.16555508753022075
X62,3.2048007145624737,-214.11180960817373,165.031657413,866.93779299,,,1,7.084555164738049e-12,1.6209256159527285e-14,-57.332574382591254,-0.30960921882253056,360.55999254262684,-59.1207467425556,4.6472680281794965e-7
X64,-0.36116380261120895,-137.9461156724433,220.840111169,1926.32829575,,,1,0,0,-21.267222443026142,-0.0806718880340022,479.9893532395871,-21.19988388554918,0
X73,28.804761648302872,-57.853513370649594,368.370615395,2675.591095,,,1,3.361569664437347e-4,4.7821045567886244e-08,13.995661241949687,-0.03755959856675184,762.6533279760221,14.205345687904236,3.533752878415175e-4
X81,-15.930449978553607,-122.51129727081573,324.739965055,4048.73731695,,,1,0,2.4427005976601635e-5,-42.28149211929207,-0.028620011568490297,1245.4608416932927,-42.25722382207788,0
X93,38.921352323076356,-7.295683606163223,341.420365155,2809.7217286,,,1,1.1448445453865475e-6,0.02471602094739267,25.968859402717513,-0.01872422736287542,1033.170826700868,26.093532759581947,8.703419338562668e-7
X98,-17.377901041658866,-17.377901041658866,717.318934635,4198.43865965,,,0,0.09466360323220147,NA,-17.377901041658866,NA,2450.4797860976937,-17.377901041658866,0.09466360323220147
X101,-17.377901041658866,8.696574948063756,369.099817665,2532.3225159,,,0,0.39520311356942717,NA,8.696574948063756,NA,1108.295502850782,8.696574948063756,0.39520311356942717
X103,8.696574948063756,-76.75288464656944,705.03758698,3887.36702875,,,0,4.02182531722417e-9,NA,-76.75288464656944,NA,1714.9098569676262,-76.75288464656944,4.02182531722417e-9
X108,-76.75288464656944,4.604818905348117,250.467311865,3836.6412353,,,1,0.04728780038245417,0.001106095660971862,-5.4052714669461155,-0.01484476497825867,924.7851866817991,-5.344100737074254,0.0479182903425055
X116,-48.63109015920426,-48.70431092535493,207.11830901,3624.0401246,,,1,0,0.002290537027642925,-66.85880603891889,-0.02339576943223201,983.0917244665899,-66.91307658697141,0
X117,-128.64582589086217,-31.629718207050445,324.739965055,4512.45854495,,,1,0,2.7608803180756425e-4,-60.16538539392653,-0.02825214354454731,1334.7754387131924,-60.102357886468326,0
X119,-149.9417446504118,13.892591644909762,465.628269955,4022.5301391,,,1,0.04448748852477391,0.002146827885438629,-14.453733918269835,-0.02764732100672754,1490.9111737228538,-14.483791660238913,0.039092567565644165
X122,-84.44621612077125,9.840583622865646,238.59496154,3939.9344116,,,1,0,0,-15.740598381314252,-0.04952405557210929,755.135493381794,-15.735193293481219,4.440892098500626e-16
X127,-173.46475699314624,-34.04844312915584,271.690262985,1841.15029295,,,1,0,1.0427414443658911e-4,-68.28986034560869,-0.05962068783341351,846.0113327473445,-68.45263076016371,0
X133,-127.62072964271891,-19.174917960112644,190.72905845,872.7688873,,,1,3.774758283725532e-15,3.3946024786901674e-5,-38.52818885623573,-0.1206121156360069,351.18782160219416,-38.642321872210125,9.769962616701378e-15
X202,-101.4371846657312,28.842841752702654,275.264513405,5253.00383295,,,1,1.5272557029710754e-5,0,-10.198043186899694,-0.03184822103014793,1501.1064498398719,-10.15226724596044,2.3116605157635917e-5
X211,-129.68930032662468,-109.13823040621776,636.97728422,2907.37082525,,,1,5.4140688821036065e-8,7.953388501198422e-4,-55.8191634519888,0.06518318839476034,1454.9653002605737,-57.397916875852374,9.983324743556565e-6
X231,38.853259508987776,23.220295953749144,628.86037598,3903.31048575,,,0,0.011199813223768729,NA,23.220295953749144,NA,1781.2377990485281,23.220295953749144,0.011199813223768729
X242,23.220295953749144,40.713726016374594,407.74071655,5038.157666,,,1,1.760384900622025e-4,0.016391190108765663,21.178354439684302,-0.01245966630992053,1975.6295420425417,21.182547753539545,1.4588712407048732e-4
X263,-16.979724049572564,45.544896895476036,508.790921025,5253.00383295,,,1,0.2597906677720354,1.3053555747433165e-7,5.794586353355134,-0.023416260281115292,2206.3425396401494,5.766007283029776,0.2653786911067546
X264,-65.54682747918768,25.89204656779312,440.34431762,5234.92286375,,,0,0.0013059413776430606,NA,25.89204656779312,NA,1916.0007776915977,25.89204656779312,0.0013059413776430606
