sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,-0.028800182466458414,6.757248980018282e-4,0.03250154464010804
white fir,15,ABCO,Abies concolor,2016,1954,-0.05434326571776684,-0.014958508668630799,0.026837240618514665
grand fir,17,ABGR,Abies grandis,1768,1754,-0.04786235706036355,-0.006280272166265366,0.03503050670538431
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,-0.05009710863214634,-0.005874015499961249,0.03725124856192142
California red fir,20,ABMA,Abies magnifica,579,582,-0.042772039550928675,-0.010403569989507755,0.02540383107026289
noble fir,22,ABPR,Abies procera,401,423,-0.0336643987227816,0.030243441117469683,0.10165888461833865
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,-0.08836030408199615,-0.02106729127136564,0.04923734525537234
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,-0.10785026722624846,-0.003395988591734511,0.07521535933289134
California juniper,62,JUCA7,Juniperus californica,64,65,-0.0013385061217468849,0.06152531681137763,0.17137951378826782
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.019884482919284997,0.007829835959782372,0.037669805361854665
western larch,73,LAOC,Larix occidentalis,1059,1056,-0.027803812485456936,-0.0018142638245342013,0.024501374511249688
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,-0.06376505806280455,-0.008537815391896686,0.051432066293341974
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,0.010596966738272885,0.05796122619008326,0.1038524763799395
Sitka spruce,98,PISI,Picea sitchensis,269,261,-0.029258461615249406,0.024647689383233917,0.08009560177322417
whitebark pine,101,PIAL,Pinus albicaulis,203,181,-0.13547000221217578,-0.005153920485617691,0.12220058124767921
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.26535991443181006,0.07114931333623353,0.45434845456361583
lodgepole pine,108,PICO,Pinus contorta,2255,2193,0.003952406808304066,0.03496676528161036,0.06769546054553302
Jeffrey pine,116,PIJE,Pinus jeffreyi,637,622,-0.0849295545644934,-0.039540218778688185,0.006486476032414267
sugar pine,117,PILA,Pinus lambertiana,991,914,-0.02936221588653649,0.026801580318088547,0.0868681571208405
western white pine,119,PIMO3,Pinus monticola,604,605,-0.0061530431700987705,0.08058465718270913,0.1764686238095556
ponderosa pine,122,PIPO,Pinus ponderosa,4581,4606,-0.05805486176465764,-0.0257680335409316,0.0064407582022661366
gray pine,127,PISA2,Pinus sabiniana,195,185,-0.11659851334149907,9.874228902448934e-4,0.11313258995590106
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-0.12860353621524126,-0.022773508585974156,0.0750319626385935
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8257,0.01249162072857346,0.033258248415192426,0.05463959646817016
redwood,211,SESE3,Sequoia sempervirens,240,242,-0.029643307732880417,-0.01023298574393472,2.1871190926376846e-4
Pacific yew,231,TABR2,Taxus brevifolia,220,206,-0.1338456677747994,-0.03922263352995348,0.05938002296068008
western redcedar,242,THPL,Thuja plicata,1461,1487,-0.046220813764463874,-0.00891006319779386,0.028977957449382648
western hemlock,263,TSHE,Tsuga heterophylla,2744,2787,-0.03712432557932268,-0.0071900417918655535,0.021845457382805904
mountain hemlock,264,TSME,Tsuga mertensiana,743,754,-0.006913718846857008,0.027368161640001443,0.07387471800249473
bigleaf maple,312,ACMA3,Acer macrophyllum,941,941,-0.08077311265314492,-0.03940928596246884,8.206640566074231e-5
California buckeye,333,AECA,Aesculus californica,79,74,-0.2883141795248519,-0.057910417399285485,0.12978228810880166
red alder,351,ALRU2,Alnus rubra,1317,1285,-0.07193213672201995,-0.028197355956621983,0.014992460270750064
white alder,352,ALRH2,Alnus rhombifolia,71,66,-0.3231665201001583,-0.0605609992173628,0.20091238040870477
Pacific madrone,361,ARME,Arbutus menziesii,839,803,-0.05044123541936245,0.008789516384021034,0.0691125805689773
paper birch,375,BEPA,Betula papyrifera,80,70,-0.08584397198115798,0.1210176518017052,0.33372281006855536
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,345,328,-0.06189709408616797,0.01472205952690242,0.09115006477894563
Pacific dogwood,492,CONU4,Cornus nuttallii,95,84,-0.25183518710779057,-0.003314759938694678,0.2562555127525153
Oregon ash,542,FRLA,Fraxinus latifolia,57,65,-0.2012235099014188,-0.039432570816606116,0.09215702572322068
tanoak,631,NODE3,Notholithocarpus densiflorus,650,643,-0.018939594874370646,0.018393690373652127,0.05615716539752813
quaking aspen,746,POTR5,Populus tremuloides,119,106,-0.18214361104490223,-0.052169290352757525,0.061678493141297065
black cottonwood,747,POBAT,Populus balsamifera,168,167,-0.11103088277786788,-0.00564743347868113,0.09765560729118473
bitter cherry,768,PREM,Prunus emarginata,126,158,-0.21112791926856703,-0.015582149918908605,0.17851884459739153
California live oak,801,QUAG,Quercus agrifolia,199,194,-0.03954363172286049,-0.017996635995552346,-0.001958158068086043
canyon live oak,805,QUCH2,Quercus chrysolepis,851,821,-0.024948939532880843,0.01625125395995397,0.05940477886857675
blue oak,807,QUDO,Quercus douglasii,340,335,8.011261908933421e-4,0.008734646218544029,0.02104542613840085
Oregon white oak,815,QUGA4,Quercus garryana,334,332,-0.042960369720598864,0.029280381734231753,0.11808271114705887
California black oak,818,QUKE,Quercus kelloggii,896,847,-0.07492347932517843,-0.021746495522635634,0.02954651601256013
California white oak,821,QULO,Quercus lobata,62,60,-0.014670895406579421,5.868732189187043e-4,0.02535193427881896
interior live oak,839,QUWI2,Quercus wislizeni,207,197,-0.030194591520668234,0.06676404833739102,0.16679753486339155
California laurel,981,UMCA,Umbellularia californica,264,277,-0.058268723180740875,0.004731950613465763,0.06551813584749103
