sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,0.002774936890735269,0.017859463052191604,-0.03222961069156027,0.03777948447303081
white fir,15,ABCO,Abies concolor,2016,1954,-0.01771033528558874,0.021731843189368386,-0.06030474793675078,0.0248840773655733
grand fir,17,ABGR,Abies grandis,1768,1754,-0.0039233543253365255,0.022604697557383827,-0.04822856153780882,0.04038185288713577
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,-0.010904187443477653,0.032535796503892045,-0.07467434859110605,0.05286597370415075
California red fir,20,ABMA,Abies magnifica,579,582,-0.012301041147279257,0.020833128225217126,-0.05313397246870482,0.028531890174146306
noble fir,22,ABPR,Abies procera,401,423,0.020001665310838135,0.03812930140424479,-0.054731765441481645,0.09473509606315791
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,-0.017406788219075153,0.03577019540795746,-0.08751637121867177,0.052702794780521464
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,-0.027569327458339288,0.06669103173271965,-0.15828374965446979,0.10314509473779121
California juniper,62,JUCA7,Juniperus californica,64,65,0.08040783028927301,0.051650874079781334,-0.020827882907098402,0.18164354348564443
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,0.0050354660278202346,0.015359592505786317,-0.025069335283520948,0.03514026733916142
western larch,73,LAOC,Larix occidentalis,1059,1056,-7.788750896731145e-4,0.017834858540577266,-0.035735197829204556,0.03417744764985833
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,-0.016590797253718037,0.02975950741533678,-0.07491943178777813,0.04173783728034205
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,0.061340134664810364,0.03225594001547099,-0.0018815077655127688,0.1245617770951335
Sitka spruce,98,PISI,Picea sitchensis,269,261,0.018178847110359442,0.027893906141155805,-0.036493208926305934,0.07285090314702482
whitebark pine,101,PIAL,Pinus albicaulis,203,181,-0.002370862848668942,0.0940967365639173,-0.18680046651394686,0.18205874081660897
knobcone pine,103,PIAT,Pinus attenuata,83,77,0.05959565198667249,0.2243631920134093,-0.38015620435960973,0.4993475083329547
lodgepole pine,108,PICO,Pinus contorta,2255,2193,0.0353939833281931,0.01870077994147681,-0.0012595453571014464,0.07204751201348765
Jeffrey pine,116,PIJE,Pinus jeffreyi,637,622,-0.03936027727185021,0.024247776371614068,-0.08688591896021378,0.008165364416513367
sugar pine,117,PILA,Pinus lambertiana,991,914,0.024452642107840816,0.03279982818131761,-0.0398350211275417,0.08874030534322333
western white pine,119,PIMO3,Pinus monticola,604,605,0.06788355420099457,0.06510721745230962,-0.059726592005532264,0.1954937004075214
ponderosa pine,122,PIPO,Pinus ponderosa,4581,4606,-0.0269782955370097,0.01677544709254044,-0.059858171838388964,0.005901580764369564
gray pine,127,PISA2,Pinus sabiniana,195,185,0.0021699578267018182,0.05371440242601234,-0.10311027092828236,0.107450186581686
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,0.0025622240191651713,0.045586180575748626,-0.08678668990930213,0.09191113794763248
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8258,0.030447082601950726,0.01148421694795226,0.007938017383964296,0.052956147819937155
redwood,211,SESE3,Sequoia sempervirens,240,242,-0.012496263585976664,0.007412467957216964,-0.027024700782121915,0.0020321736101685858
Pacific yew,231,TABR2,Taxus brevifolia,220,206,-0.02563397634173903,0.06091628133197465,-0.14502988775240933,0.09376193506893128
western redcedar,242,THPL,Thuja plicata,1461,1487,-0.004157920704150442,0.021333557828502873,-0.04597169404801607,0.03765585263971519
western hemlock,263,TSHE,Tsuga heterophylla,2745,2788,-0.007299669873793491,0.017270120580873263,-0.04114910621230509,0.026549766464718107
mountain hemlock,264,TSME,Tsuga mertensiana,743,754,0.028945780759292106,0.022322165870364393,-0.014805664346622102,0.07269722586520631
bigleaf maple,312,ACMA3,Acer macrophyllum,941,941,-0.04288089738359879,0.023401744677212507,-0.0887483169509353,0.002986522183737718
