STATECD.x,PLOT_STATUS_CD,PLOT_FIADB.x,State_Plot,STATECD.y,PLOT_FIADB.y,sum_propfor,n_plots
6,1,79785,797856,6,79785,1.559096,2
6,1,60696,606966,6,60696,0.88289,2
6,1,83310,833106,6,83310,2,2
6,1,65418,654186,6,65418,1.487572,2
6,1,98508,985086,6,98508,0.548875,2
6,1,96723,967236,6,96723,0.302447,2
41,1,84457,8445741,41,84457,0.3157,2
41,1,95747,9574741,41,95747,0.396501,2
41,1,64057,6405741,41,64057,0.233629,2
41,1,58380,5838041,41,58380,0.404664,2
41,1,91387,9138741,41,91387,1.723892,2
53,1,99143,9914353,53,99143,0.25,2
53,1,71050,7105053,53,71050,2,2
53,1,93042,9304253,53,93042,0.294624,2
53,1,88816,8881653,53,88816,1.2988629999999999,2
53,1,66051,6605153,53,66051,0.238605,2
41,1,97278,9727841,41,97278,1.702064,2
41,1,81309,8130941,41,81309,0.685994,2
41,1,87121,8712141,41,87121,2,2
41,1,63199,6319941,41,63199,2,2
41,1,91577,9157741,41,91577,2,2
41,1,82116,8211641,41,82116,2,2
41,1,63966,6396641,41,63966,1.838362,2
41,1,63063,6306341,41,63063,2,2
41,1,61993,6199341,41,61993,2,2
41,1,57300,5730041,41,57300,2,2
41,1,89493,8949341,41,89493,1.752555,2
41,1,60081,6008141,41,60081,1.87636,2
41,1,75123,7512341,41,75123,2,2
41,1,64646,6464641,41,64646,1.882724,2
41,1,63798,6379841,41,63798,2,2
41,1,67801,6780141,41,67801,1.926134,2
41,1,65386,6538641,41,65386,1.801254,2
41,1,87214,8721441,41,87214,2,2
41,1,86078,8607841,41,86078,0.678696,2
41,1,93894,9389441,41,93894,2,2
41,1,90196,9019641,41,90196,1.996216,2
41,1,72599,7259941,41,72599,2,2
41,1,59223,5922341,41,59223,1.91565,2
41,1,81468,8146841,41,81468,2,2
41,1,76749,7674941,41,76749,1.850624,2
41,1,88669,8866941,41,88669,2,2
41,1,73882,7388241,41,73882,2,2
41,1,80964,8096441,41,80964,2,2
41,1,72778,7277841,41,72778,1.9004050000000001,2
41,1,67515,6751541,41,67515,2,2
41,1,54497,5449741,41,54497,2,2
41,1,86224,8622441,41,86224,2,2
41,1,92672,9267241,41,92672,1.971274,2
41,1,77624,7762441,41,77624,2,2
41,1,93320,9332041,41,93320,2,2
41,1,99576,9957641,41,99576,2,2
41,1,78814,7881441,41,78814,2,2
41,1,81629,8162941,41,81629,1.75,2
41,1,58969,5896941,41,58969,2,2
41,1,69180,6918041,41,69180,2,2
41,1,88260,8826041,41,88260,1.500046,2
41,1,90728,9072841,41,90728,2,2
