sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,-12.986646266295793,9.505176878221748,-31.61679294761042,5.643500415018835
white fir,15,ABCO,Abies concolor,2016,1954,2.490308414119454,4.996766591815276,-7.303354105838487,12.283970934077395
grand fir,17,ABGR,Abies grandis,1768,1754,-7.133876606082822,6.262314733260628,-19.408013483273653,5.1402602711080085
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,23.242017215639407,17.808157407562703,-11.661971303183492,58.14600573446231
California red fir,20,ABMA,Abies magnifica,579,582,-3.2892010769801345,5.517597154008854,-14.103691498837488,7.525289344877219
noble fir,22,ABPR,Abies procera,401,423,20.031508672470864,15.035231321468606,-9.437544717607604,49.500562062549335
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,54.378150259573886,25.053660266507013,5.272976137220141,103.48332438192763
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,54.56773919768057,49.17380165442242,-41.81291204498737,150.9483904403485
California juniper,62,JUCA7,Juniperus californica,64,65,1.066434574124969,4.470894874082679,-7.696519379077081,9.82938852732702
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,2.04241855011594,1.5533134984735883,-1.0020759068922933,5.086913007124173
western larch,73,LAOC,Larix occidentalis,1059,1056,-3.2253521470777287,4.287118825081888,-11.628105044238229,5.1774007500827715
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,10.31020643023112,5.689552616151105,-0.8413166974250466,21.461729557887285
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,3.4401171864318485,12.637719186663727,-21.329812419429057,28.210046792292754
Sitka spruce,98,PISI,Picea sitchensis,269,261,-6.214646192136115,21.19627487522808,-47.75934494758315,35.33005256331092
whitebark pine,101,PIAL,Pinus albicaulis,203,181,-7.141936923691674,23.88403352062302,-53.95464262411279,39.670768776729446
knobcone pine,103,PIAT,Pinus attenuata,83,77,25.413356612568123,96.60296736270269,-163.92845941832914,214.7551726434654
lodgepole pine,108,PICO,Pinus contorta,2255,2193,-4.096677332971012,6.46123205075793,-16.760692152456556,8.56733748651453
Jeffrey pine,116,PIJE,Pinus jeffreyi,637,622,-0.42005600661900644,7.107046211109382,-14.349866580393394,13.509754567155381
sugar pine,117,PILA,Pinus lambertiana,991,914,3.044622271101389,9.80216392456015,-16.167619021036504,22.256863563239282
western white pine,119,PIMO3,Pinus monticola,604,605,12.283750545739395,22.12250654226868,-31.076362277107222,55.64386336858601
ponderosa pine,122,PIPO,Pinus ponderosa,4581,4606,-0.5828690325471371,2.502071517265231,-5.48692920638699,4.321191141292716
gray pine,127,PISA2,Pinus sabiniana,195,185,8.918390101349019,9.118383602240629,-8.953641759042615,26.790421961740652
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-2.198782580925979,4.845300808901125,-11.695572166372184,7.298007004520226
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8258,4.367802475691406,3.1896262809030165,-1.8838650348785064,10.619469986261318
redwood,211,SESE3,Sequoia sempervirens,240,242,20.133029011100234,12.701122877645224,-4.761171829084404,45.02722985128487
Pacific yew,231,TABR2,Taxus brevifolia,220,206,-22.13951562374723,17.80369567051025,-57.03475913794732,12.75572789045286
western redcedar,242,THPL,Thuja plicata,1461,1487,3.9477584076851144,8.536671614887489,-12.784117957494363,20.679634772864592
western hemlock,263,TSHE,Tsuga heterophylla,2745,2788,-4.1160988572460155,7.397099771940004,-18.614414410248422,10.382216695756393
mountain hemlock,264,TSME,Tsuga mertensiana,743,754,12.087684034796212,12.315335766681596,-12.050374067899714,36.225742137492134
bigleaf maple,312,ACMA3,Acer macrophyllum,941,941,-9.076607133850985,8.70792771119441,-26.144145447792027,7.990931180090058
California buckeye,333,AECA,Aesculus californica,79,74,18.715508621615413,19.666141758026136,-19.830129224115815,57.26114646734664
red alder,351,ALRU2,Alnus rubra,1318,1286,15.948757960886269,12.334615955587557,-8.227089312065342,40.12460523383788
white alder,352,ALRH2,Alnus rhombifolia,71,66,-31.15130754256552,28.39065977053296,-86.79700069281012,24.494385607679078
Pacific madrone,361,ARME,Arbutus menziesii,839,803,-18.668648231285488,11.863008856418462,-41.92014558986567,4.582849127294697
