sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,-29.886918627921784,-15.082855383544256,-1.571391844129447
white fir,15,ABCO,Abies concolor,2016,1954,-8.558742051165773,-0.10323711719036055,8.05289374119422
grand fir,17,ABGR,Abies grandis,1768,1754,-16.96856073754337,-7.987764365137025,1.5247436878280898
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,-0.9806826261281965,24.93646294146515,60.434782143150294
California red fir,20,ABMA,Abies magnifica,579,582,-11.795065789304727,-2.384636065441782,6.220933480305977
noble fir,22,ABPR,Abies procera,401,423,-4.8726377792153235,19.032679596337175,47.038848678176585
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,10.710548713208345,58.07962883696655,119.9235482680337
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,-10.317397354671481,60.62101007287106,202.90121189098377
California juniper,62,JUCA7,Juniperus californica,64,65,-6.847968509205044,-0.08022783380030774,6.40690340140919
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-1.871084049867291,0.8660289525146254,3.747110962675319
western larch,73,LAOC,Larix occidentalis,1059,1056,-10.017108549294235,-3.2709555703008846,3.0566095324036
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,0.029703496767547334,9.980703311344655,20.1977752749984
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,-12.026970165886961,5.226004621737729,22.921708726483786
Sitka spruce,98,PISI,Picea sitchensis,269,261,-59.747831153065874,-13.958391800318168,31.80627068931303
whitebark pine,101,PIAL,Pinus albicaulis,203,181,-50.6361652684331,-14.257843677032213,22.66098194975296
knobcone pine,103,PIAT,Pinus attenuata,83,77,-98.55183157052682,54.356032961304095,208.867392207671
lodgepole pine,108,PICO,Pinus contorta,2255,2193,-15.47102924471206,-5.588416664965564,3.828953813468532
Jeffrey pine,116,PIJE,Pinus jeffreyi,637,622,-13.673027065019816,1.5232803516811373,12.995839140011794
sugar pine,117,PILA,Pinus lambertiana,991,914,-10.643666051330547,5.5106977205011844,20.89038304217758
western white pine,119,PIMO3,Pinus monticola,604,605,-12.483727766391757,15.646095241799799,43.714993165479186
ponderosa pine,122,PIPO,Pinus ponderosa,4581,4606,-3.8566011422875905,0.6819817958499925,5.384224476299504
gray pine,127,PISA2,Pinus sabiniana,195,185,-12.4183648386885,7.184789004027834,26.216089301661754
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-9.805066201966689,1.9456287293955086,21.927267142336564
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8258,0.23479482912140384,5.893889264444965,11.773376107125197
redwood,211,SESE3,Sequoia sempervirens,240,242,3.1451780133547915,24.119328252593277,64.81167234855562
Pacific yew,231,TABR2,Taxus brevifolia,220,206,-47.26769313035712,-17.682614302995034,9.229798868412047
western redcedar,242,THPL,Thuja plicata,1461,1487,-11.01999102824214,3.3748005480078973,18.005457857016044
western hemlock,263,TSHE,Tsuga heterophylla,2745,2788,-12.955696378809773,-0.3046816441494684,12.674781506322491
mountain hemlock,264,TSME,Tsuga mertensiana,743,754,-5.33259189856289,15.09660939673256,42.36337371302607
bigleaf maple,312,ACMA3,Acer macrophyllum,941,941,-20.063240198181312,-4.250168851006038,11.302452317709019
California buckeye,333,AECA,Aesculus californica,79,74,-34.135436197519205,7.528170634302455,48.61224802632676
red alder,351,ALRU2,Alnus rubra,1318,1286,-4.842718427800798,17.80750334735717,41.58317096546818
white alder,352,ALRH2,Alnus rhombifolia,71,66,-113.19612870320263,-45.96849395673519,7.7826042597824845
Pacific madrone,361,ARME,Arbutus menziesii,839,803,-37.017043939548955,-17.47013366274689,0.8560193248560296
paper birch,375,BEPA,Betula papyrifera,80,70,-164.4923659421348,-15.241377568427822,92.5617748223138
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,345,328,-6.290729470824822,27.2219966611558,62.97339656748322
Pacific dogwood,492,CONU4,Cornus nuttallii,95,84,-96.22053689527499,-13.798758107507865,69.61457952872426
Oregon ash,542,FRLA,Fraxinus latifolia,57,65,-6.942919433503129,36.586421855173626,95.4618415757525
tanoak,631,NODE3,Notholithocarpus densiflorus,650,643,-22.901136836176583,-5.468168550560449,12.606963491479755
quaking aspen,746,POTR5,Populus tremuloides,119,106,-19.33893427459076,-0.5178528967273905,18.88357318112598
black cottonwood,747,POBAT,Populus balsamifera,168,167,-102.84477777003677,-44.61346014424407,7.841197780566629
bitter cherry,768,PREM,Prunus emarginata,126,158,-77.1822889646573,24.916252149922798,139.1273984364617
California live oak,801,QUAG,Quercus agrifolia,199,194,-16.810356869438312,-0.6181904682646859,14.141841184375808
canyon live oak,805,QUCH2,Quercus chrysolepis,851,821,-2.33526108560456,11.260389946018108,25.131753691042828
blue oak,807,QUDO,Quercus douglasii,340,335,-0.9354666315919019,-0.2524642729590596,0.25474686523916673
Oregon white oak,815,QUGA4,Quercus garryana,334,332,-5.338649204198592,5.928293022083437,20.06472562817886
California black oak,818,QUKE,Quercus kelloggii,896,847,-27.671893646030664,-13.268757375058726,0.23124903809413108
California white oak,821,QULO,Quercus lobata,62,60,-59.46747384437296,-15.718037276441919,5.287025135089771
interior live oak,839,QUWI2,Quercus wislizeni,207,197,-7.15266857496429,5.49075760589335,18.915017580716547
California laurel,981,UMCA,Umbellularia californica,264,277,-38.78396173937572,-17.1575601035438,4.181518245436393
