sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,-3.1529678520815074e-4,8.198565385311162e-6,3.7002679878965153e-4
white fir,15,ABCO,Abies concolor,2016,1954,-6.593093579005531e-4,-2.3403082726860977e-4,1.778257519583163e-4
grand fir,17,ABGR,Abies grandis,1768,1754,-4.512036588640065e-4,-5.103849762113644e-5,3.589679886142455e-4
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,-6.879619471308634e-4,-1.9831947681558937e-4,2.61526047867752e-4
California red fir,20,ABMA,Abies magnifica,579,582,-5.760226260745764e-4,-1.5749454517778984e-4,2.8982585834166013e-4
noble fir,22,ABPR,Abies procera,401,423,-6.617586289554094e-4,-8.814171008553195e-6,7.04827912832117e-4
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,-4.505428706882606e-4,7.07666367816273e-8,4.2738935184551737e-4
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,-0.0014686490712851232,-1.9014418250518084e-4,5.886315114314634e-4
California juniper,62,JUCA7,Juniperus californica,64,65,0,5.922402126777371e-4,0.001898627015468773
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-2.955004068236125e-4,2.6960477052448976e-5,3.6390160058585283e-4
western larch,73,LAOC,Larix occidentalis,1059,1056,-3.0980925356111853e-4,-1.5373303667667316e-5,2.7212441736588924e-4
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,-0.00089039282065999975,-2.8640217348261385e-4,3.368900603455064e-4
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,8.777256723324433e-5,5.341796016901767e-4,9.93301146519534e-4
Sitka spruce,98,PISI,Picea sitchensis,269,261,-6.160670643840253e-4,1.0972909926623586e-4,8.285988956308625e-4
whitebark pine,101,PIAL,Pinus albicaulis,203,181,-9.993591724496128e-4,2.3730835325714406e-4,0.0015151800948186886
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.003985277007374863,-3.982764893117885e-4,0.0035015253652103764
lodgepole pine,108,PICO,Pinus contorta,2255,2193,6.205765310175983e-5,3.835844129523025e-4,7.430042227116582e-4
Jeffrey pine,116,PIJE,Pinus jeffreyi,637,622,-8.426766552944294e-4,-0.00036367131438478143,1.0431601745808115e-4
sugar pine,117,PILA,Pinus lambertiana,991,914,-5.861687175658083e-4,4.1016747021336284e-5,6.89692537332333e-4
western white pine,119,PIMO3,Pinus monticola,604,605,-1.8134024448793572e-4,6.438971625593792e-4,0.0015427199052245987
ponderosa pine,122,PIPO,Pinus ponderosa,4581,4606,-6.708133217788514e-4,-3.3406533622500236e-4,-7.920854380157048e-6
gray pine,127,PISA2,Pinus sabiniana,195,185,-0.0011994054116478989,-6.959262510770614e-6,0.0011181509670387735
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-8.598165528757185e-4,1.1114169747081348e-4,0.0010639985624855898
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8257,6.446278854460942e-5,2.690697868117731e-4,4.867882712544094e-4
redwood,211,SESE3,Sequoia sempervirens,240,242,-6.072821613801219e-4,-2.04551266291686e-4,6.580352679779041e-5
Pacific yew,231,TABR2,Taxus brevifolia,220,206,-0.0010764525220276987,-8.131304687059249e-5,0.0010920169237274683
western redcedar,242,THPL,Thuja plicata,1461,1487,-4.230570851660444e-4,-6.068785379114595e-5,3.088308193046616e-4
western hemlock,263,TSHE,Tsuga heterophylla,2744,2787,-5.000063007939363e-4,-2.093577264258606e-4,7.899944095487229e-5
mountain hemlock,264,TSME,Tsuga mertensiana,743,754,-1.1982889924499141e-4,2.1828469842683163e-4,6.570758323368732e-4
bigleaf maple,312,ACMA3,Acer macrophyllum,941,941,-0.001094407848758609,-5.870374720210503e-4,-8.856354414690542e-5
California buckeye,333,AECA,Aesculus californica,79,74,-0.002220928782779448,-2.6382822655432567e-4,0.0016460584836063183
red alder,351,ALRU2,Alnus rubra,1317,1285,-7.479434691278839e-4,-2.810589736844982e-4,1.8101364055796647e-4
white alder,352,ALRH2,Alnus rhombifolia,71,66,-0.0032821734355231867,-5.323775155554333e-4,0.002064989975729461
Pacific madrone,361,ARME,Arbutus menziesii,839,803,-5.241814527162188e-4,1.430464850244295e-4,8.311912220357283e-4
paper birch,375,BEPA,Betula papyrifera,80,70,4.583528116434124e-5,0.00193834245715174,0.004203023719561379
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,345,328,-0.0010328099253549576,-1.8568477928435634e-4,6.473854030786453e-4
Pacific dogwood,492,CONU4,Cornus nuttallii,95,84,-0.002793793313139537,8.73483870196523e-5,0.003082695047639068
Oregon ash,542,FRLA,Fraxinus latifolia,57,65,-0.002921579339166505,-0.0010719921572174898,2.2575749651943317e-4
tanoak,631,NODE3,Notholithocarpus densiflorus,650,643,-1.3881265426049616e-4,2.716224930738065e-4,7.124862842684631e-4
quaking aspen,746,POTR5,Populus tremuloides,119,106,-0.0024619224294226572,-0.0010317020600101,1.063328269163291e-4
black cottonwood,747,POBAT,Populus balsamifera,168,167,-7.400316104790892e-4,3.145281699058078e-4,0.0014259012036615492
bitter cherry,768,PREM,Prunus emarginata,126,158,-0.0017140927092986994,5.579891210499711e-4,0.0028260607205604885
California live oak,801,QUAG,Quercus agrifolia,199,194,-6.835562798595972e-4,-2.562341033321225e-4,9.348204793928431e-5
canyon live oak,805,QUCH2,Quercus chrysolepis,851,821,-3.153753663700471e-4,8.994971392426443e-5,5.15786604280406e-4
blue oak,807,QUDO,Quercus douglasii,340,335,2.2079624371009747e-6,6.704950447913304e-5,1.8119218755734752e-4
Oregon white oak,815,QUGA4,Quercus garryana,334,332,-4.952137100022708e-4,2.804565188796282e-4,0.0012567261546590457
California black oak,818,QUKE,Quercus kelloggii,896,847,-9.169437681176702e-4,-3.920939576460026e-4,1.2010186409958446e-4
California white oak,821,QULO,Quercus lobata,62,60,-9.213039280406652e-4,-2.5971737712076503e-4,0
interior live oak,839,QUWI2,Quercus wislizeni,207,197,-5.445005917721546e-4,6.38959279527338e-4,0.0018050852566022853
California laurel,981,UMCA,Umbellularia californica,264,277,-7.589923814993998e-4,2.7282854385113352e-5,7.773050186096844e-4
