sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1142,1171,-0.018782248835348292,0.011621687015859639,0.0441913936575299
white fir,15,ABCO,Abies concolor,1992,1954,-0.08665755923459625,-0.04685296378807635,-0.007491462746996149
grand fir,17,ABGR,Abies grandis,1737,1754,-0.021418938286061714,0.007708977138448425,0.03746719923002551
subalpine fir,19,ABLA,Abies lasiocarpa,758,723,-0.08700438243219084,-0.025739926357379872,0.033163684046135816
California red fir,20,ABMA,Abies magnifica,577,582,-0.04019187645100071,-0.0015562949983918273,0.03939875480548776
noble fir,22,ABPR,Abies procera,386,423,-0.0487217060247926,0.024283581786432862,0.09773703106571122
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,83,81,-0.22728467706423935,-0.0354486622527066,0.14953129667923498
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,106,116,-0.12295834229771505,0.03596845793583592,0.16323024022847107
California juniper,62,JUCA7,Juniperus californica,64,65,-0.011516997444802966,0.14130489462572626,0.37548737782388353
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.03764760881313496,-0.003256338855083918,0.03273642161123475
western larch,73,LAOC,Larix occidentalis,1057,1056,-0.038872727148427974,-0.0018496579883109376,0.03414903096975973
incense cedar,81,CADE27,Calocedrus decurrens,1326,1302,-0.09541434074155575,-0.027492673457214067,0.05031382944334528
Engelmann spruce,93,PIEN,Picea engelmannii,745,704,-0.016164454795401715,0.03943419454296393,0.09379460432590993
Sitka spruce,98,PISI,Picea sitchensis,266,261,-0.1627728075673464,-0.08960116206349955,-0.021589289669667732
whitebark pine,101,PIAL,Pinus albicaulis,198,181,-0.010885979334888728,0.07997959569085733,0.18022849028463808
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.41545606188295087,0.08756871920635145,0.606102398733206
lodgepole pine,108,PICO,Pinus contorta,2252,2193,0.006118961425903624,0.042511682261398676,0.08034185648218539
Jeffrey pine,116,PIJE,Pinus jeffreyi,634,622,-0.056427776085587,-0.0142150238933203,0.033654275029148875
sugar pine,117,PILA,Pinus lambertiana,987,914,-0.04423277612683463,0.025697609621623485,0.09804674312949156
western white pine,119,PIMO3,Pinus monticola,598,605,-0.12927504207874976,-0.030453150031259035,0.07655194976192464
ponderosa pine,122,PIPO,Pinus ponderosa,4573,4606,-0.06554336936509841,-0.033083533977443125,-8.558177639534052e-4
gray pine,127,PISA2,Pinus sabiniana,195,185,-0.22899108276945881,-0.046379581681481596,0.11453356683435138
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-0.13030705161376152,-0.02662607930165173,0.07277969142323878
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8258,-0.019643761277008308,0.008907303948562095,0.03871917507160165
redwood,211,SESE3,Sequoia sempervirens,240,242,-0.050822227526589006,-0.007002342815959572,0.035977902441340505
Pacific yew,231,TABR2,Taxus brevifolia,220,206,-0.0766918715220751,0.056177669433700395,0.2053999749058381
western redcedar,242,THPL,Thuja plicata,1455,1487,-0.03189457019224986,0.006052154649644592,0.043509984637473645
western hemlock,263,TSHE,Tsuga heterophylla,2733,2788,-0.03277091454600072,0.001314059270261403,0.03513531796956061
mountain hemlock,264,TSME,Tsuga mertensiana,730,754,-0.048167600851516786,0.003964113663640134,0.059496185955763316
bigleaf maple,312,ACMA3,Acer macrophyllum,940,941,-0.16437182091672464,-0.06600440547041053,0.03007179820260572
California buckeye,333,AECA,Aesculus californica,79,74,-0.5833632333376434,-0.07472769861057671,0.37978203595205473
red alder,351,ALRU2,Alnus rubra,1311,1286,-0.10007203565005134,-0.035203712470005755,0.028635694166872536
white alder,352,ALRH2,Alnus rhombifolia,67,66,-0.7325534049195632,-0.24784903675551728,0.15166068145348546
Pacific madrone,361,ARME,Arbutus menziesii,839,803,0.009770603560051461,0.09729448996043644,0.1896483276757411
paper birch,375,BEPA,Betula papyrifera,76,70,-0.27558272717541843,-0.031221296389218445,0.2672965227727779
