sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1142,1171,0.019880484058381498,0.023782815632205547,-0.026733834580741377,0.06649480269750438
white fir,15,ABCO,Abies concolor,1992,1954,-0.05264990029667871,0.02569568461795401,-0.10301344214786856,-0.0022863584454888494
grand fir,17,ABGR,Abies grandis,1737,1754,0.0013287727519042392,0.02058127741188987,-0.03901053097539991,0.04166807647920839
subalpine fir,19,ABLA,Abies lasiocarpa,758,723,-0.016394337061376163,0.04310446397999541,-0.10087908646216716,0.06809041233941483
California red fir,20,ABMA,Abies magnifica,577,582,0.0032127455793649062,0.027257508548125343,-0.05021197117496077,0.05663746233369058
noble fir,22,ABPR,Abies procera,386,423,0.030470207615982403,0.059052466735353366,-0.08527262718531019,0.146213042417275
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,83,81,-0.039173017648536756,0.11348944606515944,-0.2616123319362492,0.18326629663917574
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,106,116,-0.014134536375722817,0.0952624866192308,-0.20084901014941517,0.17257993739796954
California juniper,62,JUCA7,Juniperus californica,64,65,0.13972273951857872,0.09027497650023725,-0.03721621442188627,0.3166616934590437
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.004893009233841283,0.022354591498886762,-0.048708008571659335,0.03892199010397677
western larch,73,LAOC,Larix occidentalis,1057,1056,0.007765372066680598,0.02564987761568277,-0.042508388060057634,0.05803913219341883
incense cedar,81,CADE27,Calocedrus decurrens,1326,1302,-0.028114628997652602,0.04200131643172146,-0.11043720920382666,0.054207951208521454
Engelmann spruce,93,PIEN,Picea engelmannii,745,704,0.038666138307192455,0.040006340199593454,-0.03974628848401071,0.11707856509839562
Sitka spruce,98,PISI,Picea sitchensis,266,261,-0.06816208101803056,0.035835293442527054,-0.13839925616538357,0.002075094129322455
whitebark pine,101,PIAL,Pinus albicaulis,198,181,0.08592627349862347,0.07703325841482211,-0.06505891299442787,0.23691145999167482
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.005082291215963153,0.38183494503259535,-0.75347878347985,0.7433142010479237
lodgepole pine,108,PICO,Pinus contorta,2252,2193,0.04012796109983796,0.02612881227364295,-0.011084510956502217,0.09134043315617814
