sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1142,1171,-0.002847367681351154,0.0023718384613879984,0.0077672067120632595
white fir,15,ABCO,Abies concolor,1992,1954,-0.03900546891671265,-0.020483218830667727,-0.0029793427212093334
grand fir,17,ABGR,Abies grandis,1737,1754,-0.006885924020737011,0.002436110680410608,0.01185129170060701
subalpine fir,19,ABLA,Abies lasiocarpa,758,723,-0.03736175094152881,-0.01980301316586286,-0.003449504222416573
California red fir,20,ABMA,Abies magnifica,577,582,-0.04597183592296893,-0.021957855625465594,4.4092680299119596e-4
noble fir,22,ABPR,Abies procera,386,423,-0.02975752241228049,-0.014535003195751739,-0.0012665377924497376
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,83,81,-0.04717227234548463,0.011685811621661935,0.06725312032306613
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,106,116,-0.03839553903561941,-0.004657222067341982,0.022514026815333363
California juniper,62,JUCA7,Juniperus californica,64,65,-0.1142044712243206,-0.025043212919580782,0.036078183266239294
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.012970936173358477,-0.002575927567605163,0.007373933590903259
western larch,73,LAOC,Larix occidentalis,1057,1056,-0.011578895255600158,-0.0017361606169925548,0.008095172083766835
incense cedar,81,CADE27,Calocedrus decurrens,1326,1302,-0.03651490453161301,-0.011345097164362716,0.014867635598308775
Engelmann spruce,93,PIEN,Picea engelmannii,745,704,-0.0021964076707569054,0.010824020622665631,0.024722553771016228
Sitka spruce,98,PISI,Picea sitchensis,266,261,-0.006401035421347297,0.0036233677098299333,0.0129465426076872
whitebark pine,101,PIAL,Pinus albicaulis,198,181,0.0015237445206260191,0.028591719600509324,0.05876707829776019
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.2900350028507967,-0.08107204490699216,0.1679045290848575
lodgepole pine,108,PICO,Pinus contorta,2252,2193,-0.007955109307650605,0.0030770430115845127,0.0158480913405142
Jeffrey pine,116,PIJE,Pinus jeffreyi,634,622,-0.03914061535674087,-0.01982471804324004,-0.0028903993019999846
sugar pine,117,PILA,Pinus lambertiana,987,914,-0.05551229075124042,-0.02510181522467292,0.004899665336530281
western white pine,119,PIMO3,Pinus monticola,598,605,-0.06691250749168788,-0.041995955402007956,-0.0177245774431466
ponderosa pine,122,PIPO,Pinus ponderosa,4573,4606,-0.020802168994711042,-0.009428560169727374,0.001365722713290629
gray pine,127,PISA2,Pinus sabiniana,195,185,-0.048066477526148045,0.019559204971204336,0.09022521939078959
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-0.06844119898004213,0.001564732345725739,0.05810690682379209
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8258,-0.012028498551194988,-0.003938055126720741,0.004549763129914505
redwood,211,SESE3,Sequoia sempervirens,240,242,-0.0043210028202907815,0.004828529029781148,0.019940901907855645
Pacific yew,231,TABR2,Taxus brevifolia,220,206,0.005885766718568153,0.03625679921660685,0.07864746436824778
western redcedar,242,THPL,Thuja plicata,1455,1487,-0.005612013324476811,0.001901485906528444,0.009516258935188343
