SPCD,SPECIES_SYMBOL,SciName,n,n1
52,CUBA,Cupressus bakeri,2,NA
55,CUSA3,Cupressus sargentii,6,NA
56,CUMA,Cupressus macnabiana,1,NA
65,JUOS,Juniperus osteosperma,39,NA
66,JUSC2,Juniperus scopulorum,1,NA
72,LALY,Larix lyallii,24,NA
92,PIBR,Picea breweriana,7,NA
104,PIBA,Pinus balfouriana,19,NA
109,PICO3,Pinus coulteri,17,NA
113,PIFL2,Pinus flexilis,14,NA
120,PIMU,Pinus muricata,10,NA
124,PIRA2,Pinus radiata,6,NA
130,PISY,Pinus sylvestris,1,NA
137,PIWA,Pinus washoensis,2,NA
142,PILO,Pinus longaeva,5,NA
201,PSMA,Pseudotsuga macrocarpa,9,NA
212,SEGI2,Sequoiadendron giganteum,5,NA
251,TOCA,Torreya californica,22,NA
313,ACNE2,Acer negundo,5,NA
320,ACPL,Acer platanoides,1,NA
341,AIAL,Ailanthus altissima,1,NA
374,BEOC2,Betula occidentalis,14,NA
511,EUGL,Eucalyptus globulus,1,NA
547,FRVE2,Fraxinus velutina,1,NA
603,JUHI,Juglans hindsii,2,NA
611,LIST2,Liquidambar styraciflua,1,NA
661,MAFU,Malus fusca,21,NA
730,PLRA,Platanus racemosa,6,NA
748,POFR2,Populus fremontii,5,NA
756,PRGL2,Prosopis glandulosa,5,NA
760,PRUNU,Prunus spp.,1,NA
763,PRVI,Prunus virginiana,21,NA
771,PRAV,Prunus avium,8,NA
811,QUEN,Quercus engelmannii,4,NA
901,ROPS,Robinia pseudoacacia,4,NA
920,SALIX,Salix spp.,1,NA
990,OLTE,Olneya tesota,7,NA
999,2TREE,Tree unknown,1,NA
