sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1142,1171,0.005423784376608509,0.004440258339601851,-0.003279121969011119,0.014126690722228137
white fir,15,ABCO,Abies concolor,1992,1954,-0.02646761926327512,0.012341908692861512,-0.05065776030128369,-0.0022774782252665583
grand fir,17,ABGR,Abies grandis,1737,1754,0.0011181977137237897,0.006967251685154288,-0.012537615589178614,0.014774011016626194
subalpine fir,19,ABLA,Abies lasiocarpa,758,723,-0.02667984004830859,0.015082575931930844,-0.056241688874893045,0.0028820087782758658
California red fir,20,ABMA,Abies magnifica,577,582,-0.024645326910703425,0.018588307179295563,-0.061078408982122724,0.011787755160715875
noble fir,22,ABPR,Abies procera,386,423,-0.02019504185274945,0.011468797368044516,-0.042673884694116704,0.0022838009886178012
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,83,81,0.01007852445505808,0.03313344608026775,-0.05486302986226671,0.07502007877238287
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,106,116,-0.018894248898094546,0.019202687245270002,-0.05653151589882375,0.018743018102634658
California juniper,62,JUCA7,Juniperus californica,64,65,-0.025989577784645945,0.039193236070756865,-0.1028083204833294,0.05082916491403751
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.0021073898177597084,0.006378150960423866,-0.014608565700190486,0.01039378606467107
western larch,73,LAOC,Larix occidentalis,1057,1056,-0.0019860278078489557,0.007840026752107439,-0.017352480241979537,0.013380424626281624
incense cedar,81,CADE27,Calocedrus decurrens,1326,1302,-0.02092118247637975,0.017330928037665862,-0.05488980143020484,0.013047436477445336
Engelmann spruce,93,PIEN,Picea engelmannii,745,704,0.010509743352642653,0.012286815260324614,-0.01357241455759359,0.034591901262878894
Sitka spruce,98,PISI,Picea sitchensis,266,261,0.006737669699527993,0.006729089545928332,-0.006451345810491537,0.019926685209547525
whitebark pine,101,PIAL,Pinus albicaulis,198,181,0.03250023571326355,0.02822703053868085,-0.022824744142550916,0.08782521556907802
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.10968936718525546,0.13927403520316775,-0.3826664761834642,0.1632877418129533
lodgepole pine,108,PICO,Pinus contorta,2252,2193,0.006508029367451762,0.008778630739133974,-0.010698086881250825,0.02371414561615435
Jeffrey pine,116,PIJE,Pinus jeffreyi,634,622,-0.021926996197896287,0.011556461745403139,-0.04457766121888644,7.236688230938641e-4
sugar pine,117,PILA,Pinus lambertiana,987,914,-0.031034203244379555,0.021843250573077455,-0.07384697436761137,0.011778567878852259
western white pine,119,PIMO3,Pinus monticola,598,605,-0.05236260577483032,0.01988093912107945,-0.09132924645214605,-0.013395965097514596
ponderosa pine,122,PIPO,Pinus ponderosa,4573,4606,-0.010938967244928044,0.006621013634668521,-0.023916153968878345,0.0020382194790222567
gray pine,127,PISA2,Pinus sabiniana,195,185,0.03435671943467078,0.035622306514920384,-0.03546300133457317,0.10417644020391473
