sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,-0.025122573062139008,5.704553130536638e-4,0.02764660742635277
white fir,15,ABCO,Abies concolor,2016,1954,-0.06546171672913609,-0.027807117532591796,0.010412397938092005
grand fir,17,ABGR,Abies grandis,1768,1754,-0.009102426663695075,0.018409069090084884,0.04642385496901
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,-0.09630446857367785,-0.03833935267144728,0.013688669402826825
California red fir,20,ABMA,Abies magnifica,579,582,-0.024205003856468822,0.009077350560315445,0.047350805072809435
noble fir,22,ABPR,Abies procera,401,423,-0.09180449841080313,-0.03206642788619529,0.021413923778914178
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,-0.11713662237265964,0.033908287492921296,0.20056385586410944
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,-0.1729693986899687,-0.02930287715164015,0.049808388043795115
California juniper,62,JUCA7,Juniperus californica,64,65,-0.010058738393200083,0.14341121489811925,0.3790890466454909
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.03719969419667741,-0.0028787693274923143,0.03256297894754493
western larch,73,LAOC,Larix occidentalis,1059,1056,-0.03713109013631648,-2.748354072048542e-4,0.036141078212498824
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,-0.0888136616052694,-0.021222017343514032,0.05783160804573765
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,-0.022829773987471748,0.03080596460233842,0.08294528434595261
Sitka spruce,98,PISI,Picea sitchensis,269,261,-0.15948516099310395,-0.08569253631078722,-0.01735022608457117
whitebark pine,101,PIAL,Pinus albicaulis,203,181,-0.02976824999449641,0.06744615433384382,0.16753541771597283
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.4189919856911266,0.0831087839390694,0.6085056229283345
lodgepole pine,108,PICO,Pinus contorta,2255,2193,0.007116726719785938,0.04371778263324266,0.08164938755153738
Jeffrey pine,116,PIJE,Pinus jeffreyi,637,622,-0.05215649776095277,-0.01096931560299641,0.03659186747967977
sugar pine,117,PILA,Pinus lambertiana,991,914,-0.032854322725013145,0.035388127104763356,0.10570437726881761
western white pine,119,PIMO3,Pinus monticola,604,605,-0.12814278432915627,-0.03158629293048332,0.07100351906728362
ponderosa pine,122,PIPO,Pinus ponderosa,4581,4606,-0.07199258053645133,-0.04048002791850358,-0.009093997959438245
gray pine,127,PISA2,Pinus sabiniana,195,185,-0.229850276577522,-0.04663279885890148,0.11142495729683476
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-0.13090733833490445,-0.027151226187188016,0.07430023518959329
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8258,-0.019393237740503944,0.00891442732818959,0.038531230003928565
redwood,211,SESE3,Sequoia sempervirens,240,242,-0.049889259790160345,-0.0070863308023536575,0.03583328279081934
Pacific yew,231,TABR2,Taxus brevifolia,220,206,-0.07761401764593491,0.05658988029464851,0.2045019854450255
western redcedar,242,THPL,Thuja plicata,1461,1487,-0.03464091382158023,0.0028529324845578685,0.04002290897349727
western hemlock,263,TSHE,Tsuga heterophylla,2745,2788,-0.026956570943074,0.00639205889241623,0.03884074119426989
mountain hemlock,264,TSME,Tsuga mertensiana,743,754,-0.06015647824715518,-0.016444764978551518,0.023011118671726203
bigleaf maple,312,ACMA3,Acer macrophyllum,941,941,-0.1683536170799043,-0.07041564392233557,0.02492575422040101
California buckeye,333,AECA,Aesculus californica,79,74,-0.5829624180144994,-0.07139020257291229,0.3724689964782281
red alder,351,ALRU2,Alnus rubra,1318,1286,-0.10679582160780643,-0.04323269787909734,0.019447195262885165
