sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,0.006462933821930861,0.02070948009109498,-0.0341276471566153,0.04705351480047702
white fir,15,ABCO,Abies concolor,2016,1954,-0.02869192555403899,0.022464185790402047,-0.07272172970322699,0.01533787859514902
grand fir,17,ABGR,Abies grandis,1768,1754,0.014553521075480802,0.019833588632149936,-0.02432031264353307,0.053427354794494675
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,-0.03178079252866439,0.03842179821972155,-0.10708751703931862,0.04352593198198984
California red fir,20,ABMA,Abies magnifica,579,582,0.01647955214956731,0.021697696953219298,-0.02604793387874251,0.059007038177877134
noble fir,22,ABPR,Abies procera,401,423,-0.019321531771650413,0.044797836876763544,-0.10712529205010696,0.06848222850680613
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,0.03218700509908068,0.09574060840596234,-0.1554645873766055,0.21983859757476687
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,-0.058278656026963915,0.07056850910050794,-0.19659293386395946,0.08003562181003163
California juniper,62,JUCA7,Juniperus californica,64,65,0.13972273951857872,0.09027497650023725,-0.03721621442188627,0.3166616934590437
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.004893009233841283,0.022354591498886762,-0.048708008571659335,0.03892199010397677
western larch,73,LAOC,Larix occidentalis,1059,1056,0.009201679305002486,0.02561040198686612,-0.040994708589255115,0.059398067199260086
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,-0.019755364235168216,0.04154840813756676,-0.10119024418479906,0.06167951571446263
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,0.03006782421824461,0.03938265594389331,-0.047122181431786286,0.1072578298682755
Sitka spruce,98,PISI,Picea sitchensis,269,261,-0.0703329236695307,0.035590967548570586,-0.14009122006472904,-5.746272743323566e-4
whitebark pine,101,PIAL,Pinus albicaulis,203,181,0.07479958987521407,0.07953902308056211,-0.08109689536268766,0.2306960751131158
