sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,0.0012120008583944575,0.0025257065430450095,-0.0037383839659737607,0.006162385682762676
white fir,15,ABCO,Abies concolor,2016,1954,-0.012858345921369807,0.009718120564892904,-0.0319058622285599,0.006189170385820283
grand fir,17,ABGR,Abies grandis,1768,1754,0.0047572434160507715,0.005740324116434236,-0.006493791852160331,0.016008278684261874
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,-0.012906451383912776,0.01144914949504367,-0.03534678439419837,0.009533881626372816
California red fir,20,ABMA,Abies magnifica,579,582,-0.016359962762250824,0.014684799364449419,-0.045142169516571684,0.012422243992070037
noble fir,22,ABPR,Abies procera,401,423,-0.01295809541842452,0.0068417590600761274,-0.02636794317617373,4.517523393246896e-4
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,0.02456675205266956,0.024672933999251488,-0.02379219858586336,0.07292570269120248
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,0.005220720470405005,0.013033097548523,-0.020324150724700073,0.030765591665510083
California juniper,62,JUCA7,Juniperus californica,64,65,-0.02932658155806145,0.034681223293372344,-0.09730177921307125,0.03864861609694835
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.002630235979012463,0.005360384607757838,-0.013136589810217826,0.0078761178521929
western larch,73,LAOC,Larix occidentalis,1059,1056,-0.0010940707373143788,0.006792970265400936,-0.014408292457500213,0.012220150982871455
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,-0.009154624449040583,0.01348224495234902,-0.035579824555644665,0.017270575657563497
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,0.010932520094366183,0.009756871555598665,-0.008190948154607199,0.030055988343339564
Sitka spruce,98,PISI,Picea sitchensis,269,261,0.0013604653692121382,0.004293087518589835,-0.0070539861672239395,0.009774916905648216
whitebark pine,101,PIAL,Pinus albicaulis,203,181,0.03659210102864807,0.023947261783360953,-0.010344532066739395,0.08352873412403554
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.07251249168507146,0.1230083309705449,-0.31360882038733945,0.16858383701719654
lodgepole pine,108,PICO,Pinus contorta,2255,2193,0.003716672986865621,0.006910475987005988,-0.009827859947666115,0.017261205921397356
Jeffrey pine,116,PIJE,Pinus jeffreyi,637,622,-0.01792800779535142,0.009334959936503892,-0.036224529270899045,3.6851368019620925e-4
sugar pine,117,PILA,Pinus lambertiana,991,914,-0.02016974638631952,0.016826551138621453,-0.053149786618017565,0.012810293845378525
western white pine,119,PIMO3,Pinus monticola,604,605,-0.03861432148026345,0.016192784827437842,-0.07035217974204161,-0.006876463218485278
ponderosa pine,122,PIPO,Pinus ponderosa,4581,4606,-0.011081442875877867,0.005421161230147625,-0.021706918886967214,-4.559668647885224e-4
gray pine,127,PISA2,Pinus sabiniana,195,185,0.02025993659864378,0.03169654275824426,-0.04186528720751497,0.08238516040480254
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-8.96638113137449e-4,0.02967000003938918,-0.059049838190340244,0.057256561964065346
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8258,-0.003846476827594758,0.004060814255310453,-0.011805672768003246,0.00411271911281373
redwood,211,SESE3,Sequoia sempervirens,240,242,0.005607434454282689,0.005751500616147473,-0.005665506753366358,0.016880375661931735
Pacific yew,231,TABR2,Taxus brevifolia,220,206,0.0378502591088552,0.01987490351217455,-0.001104551775006915,0.07680506999271731
western redcedar,242,THPL,Thuja plicata,1461,1487,0.001657249556116125,0.003941243142592677,-0.0060675870033655216,0.009382086115597772
western hemlock,263,TSHE,Tsuga heterophylla,2745,2788,0.0015617901498828912,0.00319589707256373,-0.004702168112342019,0.007825748412107801
mountain hemlock,264,TSME,Tsuga mertensiana,743,754,-0.004308518982432563,0.006136565091107971,-0.016336186561004187,0.00771914859613906
bigleaf maple,312,ACMA3,Acer macrophyllum,941,941,-0.03442251815820585,0.012765221524409169,-0.05944235234604782,-0.009402683970363878
California buckeye,333,AECA,Aesculus californica,79,74,-0.03479839407969454,0.053674312846552344,-0.14000004725893714,0.07040325909954806
