sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,-0.0025257461204786225,0.0025600635028237284,0.007817646371911529
white fir,15,ABCO,Abies concolor,2016,1954,-0.03999174381625242,-0.017184481119042694,0.004063554890203088
grand fir,17,ABGR,Abies grandis,1768,1754,-0.006610017527643325,0.004172953126376444,0.01552459000859026
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,-0.03872300767883451,-0.01893838168193618,1.7252046527130242e-4
California red fir,20,ABMA,Abies magnifica,579,582,-0.042325409608725294,-0.0181508322304873,0.0074343019286798135
noble fir,22,ABPR,Abies procera,401,423,-0.036686557624944986,-0.019643657578795104,-0.0054266519078093375
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,-0.031711223225867106,0.029622112877990547,0.09164444692418577
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,-0.027061132494001588,-4.6183574229935465e-4,0.018141060659056067
California juniper,62,JUCA7,Juniperus californica,64,65,-0.1175498281629378,-0.02460292417078902,0.06159783155165539
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.015262189947611799,-0.002406205833164976,0.00908311224002266
western larch,73,LAOC,Larix occidentalis,1059,1056,-0.013135011295094213,-0.0013125411319586666,0.01062016390424258
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,-0.05272508068530826,-0.01779522775923259,0.014147469093626902
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,-0.004315281362437628,0.011404244149135767,0.028432006426300036
Sitka spruce,98,PISI,Picea sitchensis,269,261,-0.007580895683408942,0.003335242298321217,0.013916746942705064
whitebark pine,101,PIAL,Pinus albicaulis,203,181,0.010932422300136786,0.04293969851882784,0.0848473020489926
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.3745189071820367,-0.12330587395963777,0.15810918741498062
lodgepole pine,108,PICO,Pinus contorta,2255,2193,-0.007145272841558953,0.0065661804674093105,0.023410311492599055
Jeffrey pine,116,PIJE,Pinus jeffreyi,637,622,-0.04222176708990488,-0.01857838390647082,0.0014949598461442577
sugar pine,117,PILA,Pinus lambertiana,991,914,-0.0642759576952727,-0.025916314099141635,0.01339036968882434
western white pine,119,PIMO3,Pinus monticola,604,605,-0.07886258676035197,-0.04896748465089151,-0.021059541856937185
ponderosa pine,122,PIPO,Pinus ponderosa,4581,4606,-0.026176491347210763,-0.01239607884685423,4.7526573946193504e-4
gray pine,127,PISA2,Pinus sabiniana,195,185,-0.038839568214399656,0.03174809229600317,0.11246582761782019
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-0.10571309802408772,7.640699336080026e-4,0.08742265107026315
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8257,-0.014788462053411677,-0.004882104291276557,0.005912945153919545
redwood,211,SESE3,Sequoia sempervirens,240,242,-0.007485868951758006,0.004957632235970677,0.02287056196361918
Pacific yew,231,TABR2,Taxus brevifolia,220,206,0.0055278398853684805,0.045434763413636614,0.10189613666847358
western redcedar,242,THPL,Thuja plicata,1461,1487,-0.006496320340539571,0.001221190704116193,0.009088123687676707
western hemlock,263,TSHE,Tsuga heterophylla,2744,2787,-0.005473747915081167,7.348972506346363e-4,0.0069714681546895994
mountain hemlock,264,TSME,Tsuga mertensiana,743,754,-0.01679199535910971,-0.005093810470916282,0.006343213280248607
bigleaf maple,312,ACMA3,Acer macrophyllum,941,941,-0.0702265678550099,-0.04091959106386611,-0.011913562978875676
California buckeye,333,AECA,Aesculus californica,79,74,-0.1623604052940899,-0.034787925985426904,0.09484587378940137
red alder,351,ALRU2,Alnus rubra,1317,1285,-0.027550001137807107,-0.012403591601179542,2.298066716525585e-4
white alder,352,ALRH2,Alnus rhombifolia,71,66,-0.1350116963843476,-1.2359321196164785e-4,0.1319967216218655
Pacific madrone,361,ARME,Arbutus menziesii,839,803,0.0294948708637293,0.05509477459637435,0.0825783598429931
paper birch,375,BEPA,Betula papyrifera,80,70,-0.09341353718391862,-0.03315511886385325,0.023539629897741457
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,345,328,-0.05482244103794051,-0.012333429808337404,0.027731487354120364
Pacific dogwood,492,CONU4,Cornus nuttallii,95,84,-0.01938349772454002,0.19685569305922068,0.42277032109045665
Oregon ash,542,FRLA,Fraxinus latifolia,57,65,-0.10242244961463888,-0.029791240399089536,0.03300467283430105
tanoak,631,NODE3,Notholithocarpus densiflorus,650,643,-0.01916284837752047,0.007813895067453114,0.032920749255394365
quaking aspen,746,POTR5,Populus tremuloides,119,106,-0.1158306677395127,-0.03513311537221475,0.030331926229255565
black cottonwood,747,POBAT,Populus balsamifera,168,167,-0.04120694565246072,0.01791118198486852,0.09810783262518381
