sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,0.001179839923850956,0.019756465619211967,-0.037542832689804496,0.03990251253750641
white fir,15,ABCO,Abies concolor,2016,1954,-0.02325443833052354,0.02275185198712062,-0.06784806822527996,0.021339191564232876
grand fir,17,ABGR,Abies grandis,1768,1754,-0.005040765931484614,0.023395397104914416,-0.05089574425711687,0.04081421239414764
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,-0.020054295398699296,0.033884224171291714,-0.08646737477443106,0.04635878397703247
California red fir,20,ABMA,Abies magnifica,579,582,-0.01525667032636946,0.025444951389043038,-0.0651287750488938,0.034615434396154894
noble fir,22,ABPR,Abies procera,401,423,2.9680425453193493e-4,0.0393798430804798,-0.07688768818320847,0.07748129669227234
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,-4.0681987673707454e-4,0.020276716954709832,-0.040149185107968346,0.0393355453544942
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,-0.024854292656404375,0.0549631579865312,-0.1325820823100055,0.08287349699719677
California juniper,62,JUCA7,Juniperus californica,64,65,0.06460371164934209,0.046336740825565485,-0.026216300368766265,0.15542372366745044
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,0.002746763616844561,0.01740721387601339,-0.031371375580141685,0.036864902813830806
western larch,73,LAOC,Larix occidentalis,1059,1056,-0.0016281110359432915,0.021195694465117442,-0.04317167218757348,0.039915450115686896
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,-0.02849243249438338,0.03188623504491668,-0.09098945318242008,0.03400458819365331
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,0.05381476171959765,0.032830964836424045,-0.010533929359793484,0.11816345279898878
Sitka spruce,98,PISI,Picea sitchensis,269,261,0.01117382804682876,0.0358092003819391,-0.059012204701771875,0.0813598607954294
whitebark pine,101,PIAL,Pinus albicaulis,203,181,0.024890219682592196,0.0907323543306244,-0.15294519480543164,0.20272563417061604
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.033777607633094675,0.21900101950908238,-0.46301960587089613,0.3954643906047068
lodgepole pine,108,PICO,Pinus contorta,2255,2193,0.039140969507165835,0.020552354460139602,-0.0011416452347077846,0.07942358424903945
Jeffrey pine,116,PIJE,Pinus jeffreyi,637,622,-0.036497199442257156,0.02373311344720561,-0.08301410179878015,0.010019702914265835
sugar pine,117,PILA,Pinus lambertiana,991,914,0.004508660679041654,0.03446131604999779,-0.06303551877895401,0.07205284013703732
western white pine,119,PIMO3,Pinus monticola,604,605,0.06513769944066006,0.061638703396142816,-0.05567415921577985,0.18594955809709995
ponderosa pine,122,PIPO,Pinus ponderosa,4581,4606,-0.03365451064772351,0.017363630074768058,-0.0676872255942689,3.78204298821877e-4
gray pine,127,PISA2,Pinus sabiniana,195,185,-0.0018598482180109954,0.05303130904027374,-0.10580121393694752,0.10208151750092553
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,0.011118682077302822,0.04407967577260965,-0.07527748243701209,0.09751484659161773
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8257,0.026897918771487284,0.011736189550223722,0.0038949872530487893,0.049900850289925774
redwood,211,SESE3,Sequoia sempervirens,240,242,-0.021925501444050255,0.015737171466220907,-0.05277035751784323,0.00891935462974272
Pacific yew,231,TABR2,Taxus brevifolia,220,206,-0.005450126549201073,0.07009551102407896,-0.14283732815639583,0.13193707505799368
western redcedar,242,THPL,Thuja plicata,1461,1487,-0.005737302204920525,0.021667888945624127,-0.048206364538343816,0.036731760128502766
western hemlock,263,TSHE,Tsuga heterophylla,2744,2787,-0.020822807288830347,0.017049320759588565,-0.054239475977623935,0.012593861399963241
mountain hemlock,264,TSME,Tsuga mertensiana,743,754,0.02317193704065712,0.02326691126970937,-0.022431209047973244,0.06877508312928748
bigleaf maple,312,ACMA3,Acer macrophyllum,941,941,-0.05883073797054017,0.027468722046165284,-0.11266943318102413,-0.0049920427600562145
California buckeye,333,AECA,Aesculus californica,79,74,-0.025602444013932413,0.08763224066101824,-0.19736163570952817,0.14615674768166334
red alder,351,ALRU2,Alnus rubra,1317,1285,-0.02842867661527393,0.02703433409671839,-0.08141597144484197,0.024558618214294115
white alder,352,ALRH2,Alnus rhombifolia,71,66,-0.05397389927757068,0.1277020634982898,-0.3042699437342187,0.1963221451790773
Pacific madrone,361,ARME,Arbutus menziesii,839,803,0.01414988195257827,0.039153162345847835,-0.06259031624528348,0.09089008015044002
paper birch,375,BEPA,Betula papyrifera,80,70,0.19947959051962094,0.11600903413393457,-0.027898116382890803,0.4268572974221327
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,345,328,-0.018217383556402567,0.05875459331738325,-0.13337638645847374,0.09694161934566861
Pacific dogwood,492,CONU4,Cornus nuttallii,95,84,0.010628841321119964,0.16622090685292135,-0.31516413611060584,0.33642181875284577
Oregon ash,542,FRLA,Fraxinus latifolia,57,65,-0.11621546936084748,0.07978261829176932,-0.27258940121271535,0.04015846249102037
tanoak,631,NODE3,Notholithocarpus densiflorus,650,643,0.027208472806080408,0.028391048920892132,-0.02843798307886817,0.08285492869102898
quaking aspen,746,POTR5,Populus tremuloides,119,106,-0.1065429935358786,0.07268016818216633,-0.2489961231729246,0.03591013610116742
black cottonwood,747,POBAT,Populus balsamifera,168,167,0.03160857476280299,0.06587841002469082,-0.097513108885591,0.16073025841119698
bitter cherry,768,PREM,Prunus emarginata,126,158,0.05596418920121238,0.13140569297524904,-0.20159096903027574,0.3135193474327005
California live oak,801,QUAG,Quercus agrifolia,199,194,-0.026847510433062993,0.01791276233667451,-0.061956524612945034,0.008261503746819047
canyon live oak,805,QUCH2,Quercus chrysolepis,851,821,0.009241792654048453,0.022776783280069123,-0.035400702574887026,0.05388428788298393
blue oak,807,QUDO,Quercus douglasii,340,335,0.007187073730648308,0.00443563014627967,-0.0015067613560598454,0.01588090881735646
Oregon white oak,815,QUGA4,Quercus garryana,334,332,0.030969972347866914,0.04193350031444097,-0.05121968826843738,0.11315963296417121
California black oak,818,QUKE,Quercus kelloggii,896,847,-0.03907470256163492,0.025334881592664716,-0.08873107048325776,0.010581665359987918
California white oak,821,QULO,Quercus lobata,62,60,-0.030565153373313336,0.02222898632170806,-0.07413396656386113,0.013003659817234461
interior live oak,839,QUWI2,Quercus wislizeni,207,197,0.0637540299081909,0.05426038844948136,-0.04259633145279257,0.17010439126917437
California laurel,981,UMCA,Umbellularia californica,264,277,0.0021645723629966085,0.04903601493016816,-0.09394601690013299,0.0982751616261262
