sppname,spp.codes,Spp.symbol,SciName,n.lt,n.gt,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,365,494,0.09288102696731337,0.25363840800649484,0.3882508053431026
white fir,15,ABCO,Abies concolor,751,721,-0.11999179752314898,0.3776686946710459,0.8160592834558984
grand fir,17,ABGR,Abies grandis,544,693,-0.29714185460320724,0.004917418035224053,0.38831360107280827
subalpine fir,19,ABLA,Abies lasiocarpa,319,266,-0.6855829066928114,-0.36418423763804775,0.01956034188732023
California red fir,20,ABMA,Abies magnifica,199,165,-0.46847093754677993,-0.27134016225514923,-0.06535567425580603
noble fir,22,ABPR,Abies procera,83,151,-1.0444993572563275,-0.7197604496396028,-0.29928373049068174
western juniper,64,JUOC,Juniperus occidentalis,130,295,-0.2947288289324189,0.14789350369786192,0.4503016870110327
western larch,73,LAOC,Larix occidentalis,277,207,0.16380002693921247,0.2825659603608264,0.41691861408299896
incense cedar,81,CADE27,Calocedrus decurrens,308,360,-0.7881474424217098,-0.5515694427645661,-0.2755236703630902
Engelmann spruce,93,PIEN,Picea engelmannii,220,214,-0.32988821796849255,-0.19684434897921577,-0.03808944804559351
Sitka spruce,98,PISI,Picea sitchensis,92,62,-0.7059207697830276,-0.4111550673366544,-0.10539343042318938
lodgepole pine,108,PICO,Pinus contorta,884,868,-0.3040944259753349,-0.16126671764880118,0.011775549181592102
Jeffrey pine,116,PIJE,Pinus jeffreyi,144,154,-0.5294687002068502,-0.27576323257526303,-0.05700136854129284
sugar pine,117,PILA,Pinus lambertiana,226,121,-0.834942140473777,-0.5748881971232054,-0.3367235438337926
western white pine,119,PIMO3,Pinus monticola,158,144,-0.2054697214791048,0.11830438536647447,0.362210981466901
ponderosa pine,122,PIPO,Pinus ponderosa,1235,1425,-0.8370016594987265,-0.2249314641054907,0.3105128430948833
Douglas fir,202,PSME,Pseudotsuga menziesii,2672,2731,-0.21722331687662536,0.37469688376405585,0.9292496702689828
western redcedar,242,THPL,Thuja plicata,219,473,-0.8674809261814668,-0.47112779796263027,-0.09944780888796534
western hemlock,263,TSHE,Tsuga heterophylla,823,1119,-0.5255409941220895,-0.17239290384391825,0.21712301823048746
mountain hemlock,264,TSME,Tsuga mertensiana,183,246,-0.7395263475431515,-0.3753529700831679,-0.05540685843207092
bigleaf maple,312,ACMA3,Acer macrophyllum,235,297,-0.36625195816552003,-0.17752861336171666,0.005758660917469019
red alder,351,ALRU2,Alnus rubra,663,458,-0.4935845593877041,-0.12052129866202277,0.2068394526507678
Pacific madrone,361,ARME,Arbutus menziesii,313,157,-0.6846564421474892,-0.2036762201232456,0.24646576678182902
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,120,108,0.09259256764057959,0.5893126819184409,1.0534997514906623
tanoak,631,NODE3,Notholithocarpus densiflorus,279,258,-0.44068923414766603,-0.23641216778939844,-0.025680345384284042
bitter cherry,768,PREM,Prunus emarginata,59,102,-0.17116217377126106,0.1397839525663258,0.4308073940159326
canyon live oak,805,QUCH2,Quercus chrysolepis,225,283,-0.5409204992862667,-0.16897439739351316,0.15305501940478716
blue oak,807,QUDO,Quercus douglasii,68,60,-0.27799084534901497,-0.09705184325538019,0.11186027082209689
Oregon white oak,815,QUGA4,Quercus garryana,89,107,0.09767145322971613,0.27439672371280865,0.42617770054079285
California black oak,818,QUKE,Quercus kelloggii,326,171,0.033109847955749554,0.26758840434011155,0.5390567095850674
interior live oak,839,QUWI2,Quercus wislizeni,85,68,-0.20628560430087953,0.14145381571786153,0.6444421326471662
