SppNames,spp.codes,Spp.symbol,SciName,n.lt,n.gt,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,365,494,-0.08063194308075161,0.16431317774055426,-0.40268577145223794,0.24142188529073472
white fir,15,ABCO,Abies concolor,751,721,-0.5437787388604569,0.1385214651130727,-0.8152808104820795,-0.2722766672388344
grand fir,17,ABGR,Abies grandis,544,693,-0.31164122786592596,0.14818950834734515,-0.6020926642267225,-0.02118979150512945
subalpine fir,19,ABLA,Abies lasiocarpa,319,266,-0.1988985197261659,0.17732153018708902,-0.5464487188928604,0.14865167944052854
California red fir,20,ABMA,Abies magnifica,199,165,-0.5938550386467139,0.2074090122749128,-1.0003767027055428,-0.1873333745878848
noble fir,22,ABPR,Abies procera,83,151,-0.0903299326170739,0.25953467368722277,-0.5990178930440305,0.41835802780988274
western juniper,64,JUOC,Juniperus occidentalis,130,295,0.07746595735045592,0.1731346086568781,-0.26187787561702514,0.41680979031793697
western larch,73,LAOC,Larix occidentalis,277,207,0.249723184511093,0.1434413924294642,-0.03142194465065684,0.5308683136728428
incense cedar,81,CADE27,Calocedrus decurrens,308,360,-0.38720415166641153,0.184907896693954,-0.7496236291865613,-0.02478467414626173
Engelmann spruce,93,PIEN,Picea engelmannii,220,214,0.2768794473641867,0.20993214623296114,-0.13458755925241717,0.6883464539807905
Sitka spruce,98,PISI,Picea sitchensis,92,62,0.19483939820556095,0.16183640880074396,-0.12235996304389718,0.5120387594550191
lodgepole pine,108,PICO,Pinus contorta,884,868,0.26404871174297906,0.0952763427457554,0.07730707996129849,0.45079034352465963
Jeffrey pine,116,PIJE,Pinus jeffreyi,144,154,-0.2248673906619274,0.2261673581122648,-0.6681554125619664,0.21842063123811156
sugar pine,117,PILA,Pinus lambertiana,226,121,0.38960573554717826,0.3295329630922292,-0.2562788721135909,1.0354903432079474
western white pine,119,PIMO3,Pinus monticola,158,144,0.684562096177805,0.372942697473213,-0.04640559086969254,1.4155297832253024
ponderosa pine,122,PIPO,Pinus ponderosa,1235,1425,-0.2816545703869142,0.1292938734960855,-0.5350705624392418,-0.028238578334586595
Douglas fir,202,PSME,Pseudotsuga menziesii,2672,2730,0.2679661404412954,0.09062326175169891,0.09034454740796555,0.44558773347462527
western redcedar,242,THPL,Thuja plicata,219,473,-0.5782809019044262,0.200111591062935,-0.9704996203877787,-0.18606218342107356
western hemlock,263,TSHE,Tsuga heterophylla,823,1118,-0.2092961791411092,0.11322784706635915,-0.43122275939117316,0.01263040110895472
mountain hemlock,264,TSME,Tsuga mertensiana,183,246,0.113214023177866,0.2422761548642417,-0.36164724035604773,0.5880752867117798
bigleaf maple,312,ACMA3,Acer macrophyllum,235,297,-0.34787768428422083,0.15306448172020073,-0.6478840684558143,-0.04787130011262741
red alder,351,ALRU2,Alnus rubra,663,457,-0.1550177295784838,0.10286371996280162,-0.356630620705575,0.04659516154860738
Pacific madrone,361,ARME,Arbutus menziesii,313,157,-0.20224958841783014,0.22811638599406875,-0.6493577049662049,0.2448585281305446
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,120,108,-0.37507912919493336,0.2605445371170211,-0.8857464219442946,0.13558816355442793
tanoak,631,NODE3,Notholithocarpus densiflorus,279,258,-0.1502589958472278,0.12045654075971247,-0.38635381573626426,0.08583582404180864
bitter cherry,768,PREM,Prunus emarginata,59,102,-0.12668859269288646,0.24083905317173035,-0.5987331369094779,0.345355951523705
canyon live oak,805,QUCH2,Quercus chrysolepis,225,283,-0.07052660547584999,0.18929295488298906,-0.44154079704650856,0.3004875860948086
blue oak,807,QUDO,Quercus douglasii,68,60,0.3641743945791962,0.21445848863207945,-0.05616424313967949,0.7845130322980719
Oregon white oak,815,QUGA4,Quercus garryana,89,107,-0.2603193226707763,0.28449255654311767,-0.8179247334952869,0.29728608815373436
California black oak,818,QUKE,Quercus kelloggii,326,171,-0.356982504892553,0.17237333633644691,-0.694834244111989,-0.019130765673117056
interior live oak,839,QUWI2,Quercus wislizeni,85,68,0.12655366494083786,0.22566119495012454,-0.31574227716140624,0.568849607043082
