sppname,spp.codes,Spp.symbol,SciName,n.lt,n.gt,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,365,494,-170.74681934318758,-58.45770706695248,54.076768209477656
white fir,15,ABCO,Abies concolor,751,721,-119.04161996820247,-68.55529588537308,-18.913808117376433
grand fir,17,ABGR,Abies grandis,544,693,-154.8246613410993,-100.90126362413724,-48.344190263937534
subalpine fir,19,ABLA,Abies lasiocarpa,319,266,14.659563694892006,124.50252854074574,245.02554886382714
California red fir,20,ABMA,Abies magnifica,199,165,-160.00401160324913,-77.53785861554877,5.7960455512053715
noble fir,22,ABPR,Abies procera,83,151,2.110175045748563,179.30136546042718,356.88945856358214
western juniper,64,JUOC,Juniperus occidentalis,130,295,-31.463049077312075,-5.133055132020189,20.48153685443316
western larch,73,LAOC,Larix occidentalis,277,207,-83.25675861313533,-34.70762248898944,17.86457993615191
incense cedar,81,CADE27,Calocedrus decurrens,308,360,-71.22765783602209,2.937031365658072,78.8328136450529
Engelmann spruce,93,PIEN,Picea engelmannii,220,214,-98.42410887439931,-6.1896396031632435,88.7671107078477
Sitka spruce,98,PISI,Picea sitchensis,92,62,-267.80348223438335,-70.83846451516024,130.33805846382833
lodgepole pine,108,PICO,Pinus contorta,884,868,-152.7680934627596,-106.16398039045214,-60.74999036912293
Jeffrey pine,116,PIJE,Pinus jeffreyi,144,154,-34.10624778101819,105.67572939627308,240.44912590425582
sugar pine,117,PILA,Pinus lambertiana,226,121,-119.94020600650867,6.479411886534649,135.6629967674852
western white pine,119,PIMO3,Pinus monticola,158,144,-33.35262657081706,137.87926414261392,305.8390501354504
ponderosa pine,122,PIPO,Pinus ponderosa,1235,1425,-55.43071819462608,-22.19353323539491,11.42891726730702
Douglas fir,202,PSME,Pseudotsuga menziesii,2672,2731,-142.45142425970698,-98.827924066484,-55.402217629842504
western redcedar,242,THPL,Thuja plicata,219,473,-245.05868262666922,-117.62272848631687,9.717420373967794
western hemlock,263,TSHE,Tsuga heterophylla,823,1119,-118.47030564072237,-50.80780079298597,16.172001417518597
mountain hemlock,264,TSME,Tsuga mertensiana,183,246,-102.88280610290765,32.01588413136653,168.57975642742358
bigleaf maple,312,ACMA3,Acer macrophyllum,235,297,-152.41354477003676,-61.208787369277616,29.58226320324258
red alder,351,ALRU2,Alnus rubra,663,458,-93.20908565985616,-7.361838296859787,77.91199572597775
Pacific madrone,361,ARME,Arbutus menziesii,313,157,-300.41772753572104,-188.05014451125908,-73.74554095625591
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,120,108,-130.95708062772562,68.24310776513153,266.2683191282827
tanoak,631,NODE3,Notholithocarpus densiflorus,279,258,-111.07781805497729,13.13475062209136,137.3958302380714
bitter cherry,768,PREM,Prunus emarginata,59,102,-95.76246121553055,92.50750777219889,290.5338323048324
canyon live oak,805,QUCH2,Quercus chrysolepis,225,283,-137.63811553423673,-23.326341288394133,88.06431086189072
blue oak,807,QUDO,Quercus douglasii,68,60,15.628485161626816,107.38850725827797,192.61384788240235
Oregon white oak,815,QUGA4,Quercus garryana,89,107,-393.297856964367,-241.01688486625198,-87.6392883392843
California black oak,818,QUKE,Quercus kelloggii,326,171,-177.6549575613172,-90.77311813813742,-2.169656409154025
interior live oak,839,QUWI2,Quercus wislizeni,85,68,-26.577741873430625,65.73638750126696,157.0962641297052
