SppNames,spp.codes,Spp.symbol,SciName,n.lt,n.gt,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,334,475,-101.96253032270852,88.50994363374569,-275.44201984485005,71.51695919943305
white fir,15,ABCO,Abies concolor,738,700,-71.19019688469552,30.29510445065057,-130.56860160797063,-11.811792161420406
grand fir,17,ABGR,Abies grandis,512,668,-90.07272236859114,39.13368813442332,-166.77475111206087,-13.370693625121433
subalpine fir,19,ABLA,Abies lasiocarpa,307,250,136.70002111616827,84.08154231392042,-28.099801819115754,301.4998440514523
California red fir,20,ABMA,Abies magnifica,197,161,-92.84579734739259,43.4836591637085,-178.07376930826126,-7.617825386523933
noble fir,22,ABPR,Abies procera,72,134,127.60391027255764,128.7202046292073,-124.68769080068867,379.8955113458039
western juniper,64,JUOC,Juniperus occidentalis,129,293,-4.409335304433,13.880639595752164,-31.615388912107242,22.796718303241242
western larch,73,LAOC,Larix occidentalis,272,207,-30.392818823143898,39.640471638149805,-108.08814323391752,47.302505587629724
incense cedar,81,CADE27,Calocedrus decurrens,302,358,10.675813373534538,43.292073009353054,-74.17664972479744,95.52827647186652
Engelmann spruce,93,PIEN,Picea engelmannii,213,210,-2.1933022065292107,75.7328625137496,-150.6297127334784,146.24310832042
Sitka spruce,98,PISI,Picea sitchensis,89,60,-90.85874332170124,100.0384408488721,-286.93408738549056,105.21660074208808
lodgepole pine,108,PICO,Pinus contorta,882,864,-108.3557964546676,33.8269523234038,-174.65662300853904,-42.05496990079615
Jeffrey pine,116,PIJE,Pinus jeffreyi,138,148,110.09250230425005,80.74545900105784,-48.168597337823314,268.3536019463234
sugar pine,117,PILA,Pinus lambertiana,223,117,24.34118819113519,79.17809941447392,-130.8478866612337,179.53026304350408
western white pine,119,PIMO3,Pinus monticola,155,137,151.422087835723,125.00954067909686,-93.59661189530684,396.4407875667529
ponderosa pine,122,PIPO,Pinus ponderosa,1224,1410,-15.94551779003632,18.608279963322385,-52.41774651814819,20.526710938075553
Douglas fir,202,PSME,Pseudotsuga menziesii,2651,2726,-107.87127232818102,28.69176369059492,-164.10712916174708,-51.635415494614975
western redcedar,242,THPL,Thuja plicata,211,464,-113.92423500630025,81.42077037764672,-273.5089449464878,45.660474933887315
western hemlock,263,TSHE,Tsuga heterophylla,809,1107,-41.000573946646,46.39751015947348,-131.939693859214,49.93854596592202
mountain hemlock,264,TSME,Tsuga mertensiana,170,239,-1.8137523791276635,101.0158779568463,-199.8048731745464,196.17736841629107
bigleaf maple,312,ACMA3,Acer macrophyllum,233,294,-56.37428342258477,54.14920642550729,-162.50672801657905,49.75816117140951
red alder,351,ALRU2,Alnus rubra,655,455,-23.15468577593083,46.30074912591109,-113.90415406271656,67.5947825108549
Pacific madrone,361,ARME,Arbutus menziesii,312,155,-183.95065040831628,72.29324520286967,-325.6454110059408,-42.25588981069174
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,119,106,98.89612397937185,138.47280945021498,-172.5105825430495,370.3028305017932
tanoak,631,NODE3,Notholithocarpus densiflorus,276,256,17.484023798589305,76.07336520735346,-131.61977200782349,166.5878196050021
bitter cherry,768,PREM,Prunus emarginata,59,96,87.9634488305503,106.11632868382772,-120.02455538975201,295.9514530508526
canyon live oak,805,QUCH2,Quercus chrysolepis,222,282,-18.967919810836975,74.8222460465524,-165.61952206207965,127.6836824404057
blue oak,807,QUDO,Quercus douglasii,67,60,110.5283890975445,38.03518488346633,35.9794267259505,185.0773514691385
Oregon white oak,815,QUGA4,Quercus garryana,89,103,-250.15688633117497,73.09666525084256,-393.4263502228264,-106.88742243952356
California black oak,818,QUKE,Quercus kelloggii,325,165,-89.02991449923752,39.49663803462414,-166.44332504710084,-11.616503951374199
interior live oak,839,QUWI2,Quercus wislizeni,86,62,71.88203330006775,42.39143978232046,-11.205188673280361,154.96925527341585
