SppNames,spp.codes,Spp.symbol,SciName,n.lt,n.gt,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,334,475,0.1562741147700848,0.188143828244255,-0.21248778858865497,0.5250360181288245
white fir,15,ABCO,Abies concolor,738,700,-0.5985802130605666,0.15423969492927084,-0.9008900151219374,-0.2962704109991958
grand fir,17,ABGR,Abies grandis,512,668,0.06698998807122614,0.1476265908927562,-0.22235813007857602,0.3563381062210283
subalpine fir,19,ABLA,Abies lasiocarpa,307,250,-0.35106192354171384,0.20122389510332428,-0.7454607579442294,0.04333691086080177
California red fir,20,ABMA,Abies magnifica,197,161,-0.4113854751859538,0.23032770707362685,-0.8628277810502625,0.040056830678354804
noble fir,22,ABPR,Abies procera,72,134,-0.03559623935571565,0.2941876722574166,-0.6122040769802521,0.5410115982688208
western juniper,64,JUOC,Juniperus occidentalis,129,293,0.2122104581534554,0.21562387623449875,-0.21041233926616215,0.6348332555730729
western larch,73,LAOC,Larix occidentalis,272,207,0.38654613518529857,0.22040906105024163,-0.04545562447317503,0.8185478948437721
incense cedar,81,CADE27,Calocedrus decurrens,302,358,-0.5846762407290225,0.24975654823641635,-1.0741990752723984,-0.09515340618564644
Engelmann spruce,93,PIEN,Picea engelmannii,213,210,0.41545887890997335,0.24838341052259508,-0.07137260571431298,0.9022903635342596
Sitka spruce,98,PISI,Picea sitchensis,89,60,-0.3389534159910017,0.2199831650312232,-0.7701204194521991,0.09221358747019576
lodgepole pine,108,PICO,Pinus contorta,882,864,0.6163846723021287,0.15297156477816562,0.3165604053369241,0.9162089392673333
Jeffrey pine,116,PIJE,Pinus jeffreyi,138,148,-0.3892574459477789,0.22897869003628263,-0.8380556784188928,0.059540786523335054
sugar pine,117,PILA,Pinus lambertiana,223,117,0.5643507374679384,0.37646500764735963,-0.1735206775208864,1.3022221524567632
western white pine,119,PIMO3,Pinus monticola,155,137,-0.07187582611253518,0.42210469611898477,-0.8992010305057453,0.7554493782806749
ponderosa pine,122,PIPO,Pinus ponderosa,1224,1410,-0.41065633813085256,0.1350007374431128,-0.6752577835193536,-0.14605489274235145
Douglas fir,202,PSME,Pseudotsuga menziesii,2651,2726,0.7297945599643896,0.11760877071260036,0.49928136936769285,0.9603077505610863
western redcedar,242,THPL,Thuja plicata,211,464,0.11728054884248529,0.23664903796819303,-0.346551565575173,0.5811126632601435
western hemlock,263,TSHE,Tsuga heterophylla,809,1107,0.0080883610253899,0.144268779037967,-0.2746784458890254,0.2908551679398052
mountain hemlock,264,TSME,Tsuga mertensiana,170,239,0.05124237386024788,0.2636771094281705,-0.46556476061896634,0.5680495083394621
bigleaf maple,312,ACMA3,Acer macrophyllum,233,294,-1.0068882542481177,0.37909174129844486,-1.7499080671930696,-0.2638684413031658
red alder,351,ALRU2,Alnus rubra,655,455,-0.07169573875331103,0.15542504950897162,-0.37632883579089543,0.23293735828427337
Pacific madrone,361,ARME,Arbutus menziesii,312,155,0.3430768038504173,0.3738993493379571,-0.3897659208519786,1.0759195285528131
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,119,106,-0.540321668278942,0.43048235941058716,-1.3840670927236927,0.30342375616580874
tanoak,631,NODE3,Notholithocarpus densiflorus,276,256,0.015088750157584485,0.3097883667194201,-0.5920964486124789,0.6222739489276479
bitter cherry,768,PREM,Prunus emarginata,59,96,0.14559792555555973,0.2886116211615373,-0.4200808519210534,0.7112767030321728
canyon live oak,805,QUCH2,Quercus chrysolepis,222,282,-0.09243641900605937,0.35926359869497176,-0.796593072448204,0.6117202344360853
blue oak,807,QUDO,Quercus douglasii,67,60,0.62383002948124755,0.46372680459687043,-0.2850745075286185,1.5327345664911136
Oregon white oak,815,QUGA4,Quercus garryana,89,103,0.6583324472735992,0.5407664477802862,-0.40156979037576157,1.71823468492296
California black oak,818,QUKE,Quercus kelloggii,325,165,-0.005285251362376897,0.24643360159259842,-0.4882951104838698,0.477724607759116
interior live oak,839,QUWI2,Quercus wislizeni,86,62,0.2504104469169519,0.45749488435800273,-0.6462795264247334,1.1471004202586372
