sppname,spp.codes,Spp.symbol,SciName,n.lt,n.gt,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,365,494,-0.02771154957907981,0.015287489726305503,0.05789193406449252
white fir,15,ABCO,Abies concolor,751,721,-0.35076393136037104,-0.22789723211231383,-0.10668364914629404
grand fir,17,ABGR,Abies grandis,544,693,0.01288517534181003,0.07601459497543883,0.13948657294158037
subalpine fir,19,ABLA,Abies lasiocarpa,319,266,-0.17986130475254108,-0.08240256284556735,0.014890613459118409
California red fir,20,ABMA,Abies magnifica,199,165,-0.6066447730360486,-0.3584301149961002,-0.11197805105236064
noble fir,22,ABPR,Abies procera,83,151,-0.1874546937187591,-0.0718265150641283,0.033994795738122814
western juniper,64,JUOC,Juniperus occidentalis,130,295,-0.1646650023361715,-0.03706017182626542,0.08823012098292117
western larch,73,LAOC,Larix occidentalis,277,207,-0.0465169685339115,0.043213323663813474,0.13266659321418245
incense cedar,81,CADE27,Calocedrus decurrens,308,360,-0.649124645047007,-0.4461761182786086,-0.24054388160324813
Engelmann spruce,93,PIEN,Picea engelmannii,220,214,-0.022652817566950006,0.07787368318467613,0.17554917684426014
Sitka spruce,98,PISI,Picea sitchensis,92,62,-0.0262950430583825,0.03226655447539281,0.09122634099719788
lodgepole pine,108,PICO,Pinus contorta,884,868,-0.12192343193647878,-0.05495943625683475,0.014994164323274833
Jeffrey pine,116,PIJE,Pinus jeffreyi,144,154,-0.20036567761485083,0.009219309885818872,0.2166527501048865
sugar pine,117,PILA,Pinus lambertiana,226,121,-0.37663767258985026,-0.05457276252972543,0.2667812192197008
western white pine,119,PIMO3,Pinus monticola,158,144,-0.46791839676234986,-0.27531205823172467,-0.08101287755902425
ponderosa pine,122,PIPO,Pinus ponderosa,1235,1425,-0.24910721116559104,-0.1492894369319645,-0.05016991264786251
Douglas fir,202,PSME,Pseudotsuga menziesii,2672,2731,0.04671849093714308,0.11038508060990948,0.17439973807120404
western redcedar,242,THPL,Thuja plicata,219,473,0.0055940077540875,0.06897813451911455,0.13185871572450733
western hemlock,263,TSHE,Tsuga heterophylla,823,1119,-0.03730254723839497,-0.004294731569599308,0.028796044179288667
mountain hemlock,264,TSME,Tsuga mertensiana,183,246,-0.06581850661102888,0.035610677079955244,0.13920724835091172
bigleaf maple,312,ACMA3,Acer macrophyllum,235,297,-0.6190589724569123,-0.39124043918908796,-0.16144025906239326
red alder,351,ALRU2,Alnus rubra,663,458,-0.1202196687490611,-0.06979602025128051,-0.0217527372546616
Pacific madrone,361,ARME,Arbutus menziesii,313,157,0.10389181405422442,0.3058202202838658,0.5057570967851378
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,120,108,-0.29113100918792084,-0.10481185667445947,0.07947326216642644
tanoak,631,NODE3,Notholithocarpus densiflorus,279,258,-0.23213061608225039,-0.059050847573395626,0.1128630939840668
bitter cherry,768,PREM,Prunus emarginata,59,102,-0.09004604161537352,0.03194952388561717,0.14574180304068363
canyon live oak,805,QUCH2,Quercus chrysolepis,225,283,-0.3445857840798479,-0.08972143853111492,0.16270731687183665
blue oak,807,QUDO,Quercus douglasii,68,60,0.1485827705642926,0.5882644849897292,1.0241819340654337
Oregon white oak,815,QUGA4,Quercus garryana,89,107,-0.05726952294335248,0.2581343642855224,0.5876730760323554
California black oak,818,QUKE,Quercus kelloggii,326,171,-0.39996156799027593,-0.15480260418544,0.09792570452907505
interior live oak,839,QUWI2,Quercus wislizeni,85,68,-0.4910017013078064,-0.07261132643365698,0.3462675500720225
