sppname,spp.codes,Spp.symbol,SciName,n.lt,n.gt,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,365,494,-0.11972276485170785,0.09501712965310416,0.3153951614182183
white fir,15,ABCO,Abies concolor,751,721,-0.8006543535167409,-0.5750981532191641,-0.34283473357832467
grand fir,17,ABGR,Abies grandis,544,693,-0.043238070271630756,0.15041527982926173,0.3458059760634274
subalpine fir,19,ABLA,Abies lasiocarpa,319,266,-0.6145300140400892,-0.33812713755259427,-0.061388910716595656
California red fir,20,ABMA,Abies magnifica,199,165,-0.7327093395251001,-0.3976840768932606,-0.057579296789859485
noble fir,22,ABPR,Abies procera,83,151,-0.7900103572520147,-0.3797810960968242,0.017586773348102516
western juniper,64,JUOC,Juniperus occidentalis,130,295,-0.19137107360773806,0.171926276731158,0.5447275909316516
western larch,73,LAOC,Larix occidentalis,277,207,0.06875916366212036,0.37193510990581125,0.6721293284465436
incense cedar,81,CADE27,Calocedrus decurrens,308,360,-0.8683990716927437,-0.4624933707800505,-0.04921609266232473
Engelmann spruce,93,PIEN,Picea engelmannii,220,214,0.06424978588720727,0.37989212750519474,0.7007871397444243
Sitka spruce,98,PISI,Picea sitchensis,92,62,-0.7629647799388173,-0.3884723139532946,-0.01604623459623907
lodgepole pine,108,PICO,Pinus contorta,884,868,0.4308653503426542,0.6403466750159597,0.8484490480859975
Jeffrey pine,116,PIJE,Pinus jeffreyi,144,154,-0.8764049100458068,-0.4596625833039232,-0.027676159827163344
sugar pine,117,PILA,Pinus lambertiana,226,121,-0.1093337685364931,0.48884516895534347,1.0597991168047485
western white pine,119,PIMO3,Pinus monticola,158,144,-0.5680546673529435,0.03738556900422285,0.6469164699502412
ponderosa pine,122,PIPO,Pinus ponderosa,1235,1425,-0.5530841285093553,-0.3296457654145204,-0.10469561675534926
Douglas fir,202,PSME,Pseudotsuga menziesii,2672,2731,0.4546702774160728,0.6548841622250432,0.8537193263108334
western redcedar,242,THPL,Thuja plicata,219,473,-0.44122459245836604,-0.1250673383420402,0.18257660847896812
western hemlock,263,TSHE,Tsuga heterophylla,823,1119,-0.17447848109069763,0.008305503011246884,0.1901445436106925
mountain hemlock,264,TSME,Tsuga mertensiana,183,246,-0.4566098827173561,-0.08916226360774182,0.2705020339407877
bigleaf maple,312,ACMA3,Acer macrophyllum,235,297,-1.6413837128965434,-0.990072042013157,-0.332153979494909
red alder,351,ALRU2,Alnus rubra,663,458,-0.3760157546705555,-0.1231907539583661,0.13802549406532671
Pacific madrone,361,ARME,Arbutus menziesii,313,157,-0.4696941400826951,0.1385406868847543,0.7291524301947917
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,120,108,-1.1344005659348984,-0.5009403787279814,0.14774585776084173
tanoak,631,NODE3,Notholithocarpus densiflorus,279,258,-0.5085053034870551,0.047543515023217964,0.6058420112985091
bitter cherry,768,PREM,Prunus emarginata,59,102,-0.5585236788238988,-0.08335472423918766,0.36738337879364436
canyon live oak,805,QUCH2,Quercus chrysolepis,225,283,-0.5847155340705407,-0.03520628275793847,0.5225143052013297
blue oak,807,QUDO,Quercus douglasii,68,60,-0.2822054361797461,0.5951351653755914,1.4772109523104626
Oregon white oak,815,QUGA4,Quercus garryana,89,107,-0.45669398002264966,0.543999128118605,1.5284668150156602
California black oak,818,QUKE,Quercus kelloggii,326,171,-0.35417150378857026,0.11628796780357753,0.5946765308782622
interior live oak,839,QUWI2,Quercus wislizeni,85,68,-0.8235199570912264,0.06915166689357655,0.9645812246013982
