Species,SppCode,Symbol,Fewer,Same,More,Total
Abies amabilis,11,ABAM,365,322,494,1181
Abies concolor,15,ABCO,752,586,721,2059
Abies grandis,17,ABGR,544,597,693,1834
Abies lasiocarpa,19,ABLA,320,222,266,808
Abies magnifica,20,ABMA,200,197,165,562
Abies procera,22,ABPR,83,176,151,410
Chamaecyparis lawsoniana,41,CHLA,17,52,14,83
Chamaecyparis nootkatensis,42,CHNO,24,63,23,110
Juniperus californica,62,JUCA7,5,39,8,52
Juniperus occidentalis,64,JUOC,130,594,295,1019
Larix occidentalis,73,LAOC,278,592,207,1077
Calocedrus decurrens,81,CADE27,309,614,360,1283
Picea engelmannii,93,PIEN,221,336,214,771
Picea sitchensis,98,PISI,92,101,62,255
Pinus albicaulis,101,PIAL,77,85,41,203
Pinus attenuata,103,PIAT,43,31,22,96
Pinus contorta,108,PICO,885,617,868,2370
Pinus jeffreyi,116,PIJE,144,283,154,581
Pinus lambertiana,117,PILA,227,435,121,783
Pinus monticola,119,PIMO3,159,294,144,597
Pinus ponderosa,122,PIPO,1238,1877,1425,4540
Pinus sabiniana,127,PISA2,41,103,46,190
Pinus monophylla,133,PIMO,56,97,49,202
Pseudotsuga menziesii,202,PSME,2673,2923,2731,8327
Sequoia sempervirens,211,SESE3,48,95,84,227
Taxus brevifolia,231,TABR2,44,149,33,226
Thuja plicata,242,THPL,220,737,473,1430
Tsuga heterophylla,263,TSHE,823,950,1120,2893
Tsuga mertensiana,264,TSME,184,324,246,754
Acer macrophyllum,312,ACMA3,237,462,297,996
Aesculus californica,333,AECA,25,40,17,82
Alnus rubra,351,ALRU2,663,333,458,1454
Alnus rhombifolia,352,ALRH2,28,23,19,70
Arbutus menziesii,361,ARME,314,395,157,866
Betula papyrifera,375,BEPA,45,21,16,82
Chrysolepis chrysophylla,431,CHCHC4,120,150,108,378
Cornus nuttallii,492,CONU4,30,51,26,107
Fraxinus latifolia,542,FRLA,13,23,29,65
Notholithocarpus densiflorus,631,NODE3,279,139,258,676
Populus tremuloides,746,POTR5,60,42,23,125
Populus balsamifera,747,POBAT,30,72,42,144
Quercus agrifolia,801,QUAG,65,92,33,190
Quercus chrysolepis,805,QUCH2,228,357,283,868
Quercus douglasii,807,QUDO,68,201,60,329
Quercus garryana,815,QUGA4,89,137,107,333
Quercus kelloggii,818,QUKE,327,404,171,902
Quercus lobata,821,QULO,9,38,5,52
Quercus wislizeni,839,QUWI2,86,61,68,215
Umbellularia californica,981,UMCA,39,117,117,273
