sppname,spp.codes,Spp.symbol,SciName,n.lt,n.gt,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,365,494,-0.027710723441771605,0.015390109946768982,0.058841432846061484
white fir,15,ABCO,Abies concolor,751,721,-0.35276279103413144,-0.22926304206419545,-0.10554214633502298
grand fir,17,ABGR,Abies grandis,544,693,0.013480544399715832,0.07578203545971318,0.13891529821929513
subalpine fir,19,ABLA,Abies lasiocarpa,319,266,-0.1787276054149939,-0.08251095632535776,0.013694146394182804
California red fir,20,ABMA,Abies magnifica,199,165,-0.603712942811984,-0.35737888518039496,-0.10497268308343119
noble fir,22,ABPR,Abies procera,83,151,-0.18549223451116423,-0.07268442748688475,0.0312300179234189
western juniper,64,JUOC,Juniperus occidentalis,130,295,-0.16330591211242268,-0.03617106677015558,0.08903126873766483
western larch,73,LAOC,Larix occidentalis,277,207,-0.04605298617113347,0.04296005256683333,0.13037202524245967
incense cedar,81,CADE27,Calocedrus decurrens,308,360,-0.6473899390657025,-0.4450833620351293,-0.2424512921805324
Engelmann spruce,93,PIEN,Picea engelmannii,220,214,-0.021604773433670472,0.07858090148739627,0.17611513992669448
Sitka spruce,98,PISI,Picea sitchensis,92,62,-0.025778732022084114,0.03228768065929305,0.09079249532227192
lodgepole pine,108,PICO,Pinus contorta,884,868,-0.1224030435700536,-0.05475892374760993,0.014542399787954248
Jeffrey pine,116,PIJE,Pinus jeffreyi,144,154,-0.20266899935223276,0.009070281238731104,0.22052358744876563
sugar pine,117,PILA,Pinus lambertiana,226,121,-0.375970127097497,-0.05016632055465631,0.2694023302389594
western white pine,119,PIMO3,Pinus monticola,158,144,-0.47048350245542003,-0.27437531234470913,-0.08340408187347048
ponderosa pine,122,PIPO,Pinus ponderosa,1235,1425,-0.24802895894848134,-0.1487851362172452,-0.051136409218208306
Douglas fir,202,PSME,Pseudotsuga menziesii,2672,2730,0.04745327617428342,0.11099622276185073,0.1745733763436751
western redcedar,242,THPL,Thuja plicata,219,473,0.005155561981408025,0.06914800531194554,0.13241950500321112
western hemlock,263,TSHE,Tsuga heterophylla,823,1118,-0.036450882441987735,-0.003526060274697762,0.029027391265152892
mountain hemlock,264,TSME,Tsuga mertensiana,183,246,-0.06807143232376293,0.03592680594006392,0.13979063355121654
bigleaf maple,312,ACMA3,Acer macrophyllum,235,297,-0.6205343440456167,-0.3906883574835293,-0.16055246594141098
red alder,351,ALRU2,Alnus rubra,663,457,-0.1185484697400538,-0.06889246642322489,-0.02131430838423359
Pacific madrone,361,ARME,Arbutus menziesii,313,157,0.10691207972898464,0.30383839602732987,0.5032297907889078
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,120,108,-0.2887278032680975,-0.10334662582665177,0.07839445849344802
tanoak,631,NODE3,Notholithocarpus densiflorus,279,258,-0.23037363817711456,-0.059883567317904896,0.11502376049704174
bitter cherry,768,PREM,Prunus emarginata,59,102,-0.09195725758549846,0.03095603714570233,0.14677678400376368
canyon live oak,805,QUCH2,Quercus chrysolepis,225,283,-0.34325476551585393,-0.08896852970904501,0.15889854583136698
blue oak,807,QUDO,Quercus douglasii,68,60,0.15185720849841786,0.588522603030635,1.0245266747047475
Oregon white oak,815,QUGA4,Quercus garryana,89,107,-0.06346906052578331,0.257802305124767,0.5935956229503458
California black oak,818,QUKE,Quercus kelloggii,326,171,-0.40421034225467267,-0.153412659418666,0.09372020174228408
interior live oak,839,QUWI2,Quercus wislizeni,85,68,-0.4837047103293655,-0.07112458683603151,0.35208593333478166
